Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,16.059999,16.080000,15.560000,16.020000,3.066418,158200
2016-01-12,16.160000,16.160000,15.490000,15.790000,3.022395,257900
2016-01-13,15.660000,15.720000,15.320000,15.380000,2.996867,108700
2016-01-14,15.380000,15.450000,14.580000,15.370000,2.994919,307100
2016-01-15,15.100000,15.300000,14.750000,15.000000,2.922823,143600
2016-01-19,14.880000,15.040000,14.210000,14.270000,2.780579,215300
2016-01-20,14.020000,14.100000,12.120000,13.190000,2.570135,572500
2016-01-21,13.010000,13.930000,12.890000,13.300000,2.591570,212200
2016-01-22,13.670000,14.190000,13.550000,13.970000,2.722123,67500
2016-01-25,13.950000,14.250000,13.850000,14.180000,2.763041,108300
2016-01-26,14.100000,14.410000,14.030000,14.340000,2.794219,67300
2016-01-27,14.380000,14.460000,14.220000,14.250000,2.776681,31200
2016-01-28,14.300000,14.650000,14.300000,14.560000,2.837087,60000
2016-01-29,14.600000,14.960000,14.580000,14.650000,2.854624,128300
2016-02-01,14.630000,14.790000,14.550000,14.790000,2.881904,33600
2016-02-02,14.700000,14.730000,14.640000,14.690000,2.862418,61300
2016-02-03,14.770000,14.820000,14.590000,14.810000,2.885801,37900
2016-02-04,14.800000,14.850000,14.700000,14.840000,2.891647,39100
2016-02-05,14.860000,14.860000,14.410000,14.440000,2.813704,182800
2016-02-08,14.430000,14.440000,14.010000,14.190000,2.764992,95800
2016-02-09,14.140000,14.460000,13.920000,13.920000,2.712380,104600
2016-02-10,13.660000,13.930000,13.540000,13.750000,2.734054,101100
2016-02-11,13.880000,14.040000,12.800000,12.900000,2.565040,113900
2016-02-12,12.910000,13.790000,12.910000,13.790000,2.742007,223400
2016-02-16,14.040000,14.040000,13.480000,13.660000,2.716159,226000
2016-02-17,13.700000,13.990000,13.670000,13.950000,2.773821,35300
2016-02-18,13.990000,14.340000,13.960000,14.250000,2.833474,106000
2016-02-19,14.280000,14.390000,14.170000,14.250000,2.833474,63400
2016-02-22,14.350000,14.990000,14.330000,14.780000,2.938858,159300
2016-02-23,14.610000,14.680000,14.170000,14.460000,2.875231,120700
2016-02-24,14.400000,14.450000,14.170000,14.450000,2.873241,22000
2016-02-25,14.630000,14.990000,14.400000,14.900000,2.962719,74000
2016-02-26,14.960000,14.960000,14.800000,14.900000,2.962719,48200
2016-02-29,14.900000,14.900000,14.700000,14.710000,2.924941,38000
2016-03-01,14.850000,14.900000,14.700000,14.770000,2.936871,28600
2016-03-02,14.860000,14.890000,14.750000,14.820000,2.946812,62700
2016-03-03,14.810000,14.910000,14.720000,14.890000,2.960731,64400
2016-03-04,14.890000,15.460000,14.820000,15.180000,3.018395,188300
2016-03-07,15.240000,15.480000,15.040000,15.270000,3.036290,137400
2016-03-08,15.310000,15.360000,14.800000,15.340000,3.050210,100600
2016-03-09,15.340000,15.430000,15.060000,15.210000,3.024360,135500
2016-03-10,15.330000,15.410000,15.120000,15.300000,3.042257,51000
2016-03-11,15.090000,15.450000,15.090000,15.440000,3.127117,68800
2016-03-14,15.290000,15.460000,15.290000,15.370000,3.112941,18600
2016-03-15,15.240000,15.480000,15.100000,15.360000,3.110915,103100
2016-03-16,15.220000,15.530000,15.220000,15.440000,3.127117,38400
2016-03-17,15.310000,15.560000,15.310000,15.500000,3.139270,73000
2016-03-18,15.370000,15.520000,15.000000,15.520000,3.143320,20900
2016-03-21,15.380000,15.620000,15.380000,15.560000,3.151422,42500
2016-03-22,15.580000,15.840000,15.490000,15.830000,3.206105,40400
2016-03-23,15.810000,15.810000,15.700000,15.770000,3.193952,72500
2016-03-24,15.680000,15.790000,15.640000,15.790000,3.198003,15700
2016-03-28,15.770000,15.780000,15.650000,15.690000,3.177750,25000
2016-03-29,15.600000,15.870000,15.600000,15.720000,3.183826,51300
2016-03-30,15.850000,15.970000,15.790000,15.880000,3.216233,22500
2016-03-31,15.900000,16.260000,15.880000,16.100000,3.260791,143700
2016-04-01,16.100000,16.209999,16.000000,16.110001,3.262815,90300
2016-04-04,16.200001,16.480000,16.139999,16.389999,3.319525,126100
2016-04-05,16.370001,16.549999,16.299999,16.430000,3.327625,104900
2016-04-06,16.450001,16.690001,16.370001,16.590000,3.360031,70900
2016-04-07,16.639999,16.910000,16.540001,16.799999,3.402563,151500
2016-04-08,16.799999,17.030001,16.600000,16.900000,3.422817,158900
2016-04-11,16.900000,17.120001,16.900000,17.000000,3.443070,74900
2016-04-12,17.030001,17.190001,17.020000,17.120001,3.467375,96100
