Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,26.990000,27.049999,26.570000,26.940001,21.416023,201600
2016-01-12,27.170000,27.200001,26.650000,26.980000,21.447821,382200
2016-01-13,27.090000,27.200001,26.290001,26.400000,20.986748,275300
2016-01-14,26.450001,26.840000,26.170000,26.660000,21.193438,311800
2016-01-15,25.639999,25.850000,25.110001,25.430000,20.215651,444100
2016-01-19,25.680000,25.870001,25.379999,25.559999,20.318989,313600
2016-01-20,25.170000,25.480000,24.600000,25.290001,20.104353,411600
2016-01-21,25.209999,25.740000,24.990000,25.549999,20.311037,253400
2016-01-22,26.250000,26.590000,26.209999,26.530001,21.090096,275700
2016-01-25,26.400000,26.490000,26.059999,26.080000,20.732363,299900
2016-01-26,26.080000,26.450001,26.070000,26.430000,21.010595,286100
2016-01-27,26.280001,26.799999,26.219999,26.410000,20.994698,551500
2016-01-28,26.120001,26.180000,25.639999,25.860001,20.557476,1813800
2016-01-29,26.010000,26.930000,25.990000,26.920000,21.400127,887900
2016-02-01,26.440001,26.889999,26.330000,26.780001,21.288828,354200
2016-02-02,26.000000,26.030001,25.590000,25.730000,20.454130,371100
2016-02-03,26.030001,26.030001,25.330000,25.690001,20.422333,1096300
2016-02-04,25.520000,26.309999,25.490000,26.250000,20.867508,713100
2016-02-05,26.170000,26.270000,25.370001,25.520000,20.287191,690500
2016-02-08,24.610001,24.610001,23.420000,23.719999,18.856274,615200
2016-02-09,23.370001,24.059999,23.330000,23.889999,18.991419,616100
2016-02-10,24.580000,25.020000,24.480000,24.600000,19.555834,372900
2016-02-11,24.360001,24.520000,23.969999,24.340000,19.349148,517600
2016-02-12,24.219999,24.580000,24.170000,24.549999,19.516088,542300
2016-02-16,25.180000,25.180000,24.770000,25.049999,19.913565,310400
2016-02-17,25.450001,25.889999,25.440001,25.740000,20.462082,502000
2016-02-18,25.770000,26.010000,25.730000,25.750000,20.470028,275700
2016-02-19,25.459999,25.750000,25.389999,25.700001,20.430281,306500
2016-02-22,25.719999,25.940001,25.709999,25.889999,20.581326,413700
2016-02-23,25.709999,25.889999,25.530001,25.600000,20.350786,348200
2016-02-24,24.850000,25.320000,24.610001,25.320000,20.128195,999800
2016-02-25,25.240000,25.410000,25.000000,25.410000,20.199747,570200
2016-02-26,25.250000,25.360001,25.090000,25.260000,20.080505,373800
2016-02-29,25.610001,25.830000,25.500000,25.549999,20.311037,376800
2016-03-01,25.549999,26.340000,25.549999,26.219999,20.843655,633300
2016-03-02,26.100000,26.340000,25.910000,26.330000,20.931105,322700
2016-03-03,27.180000,27.620001,27.150000,27.610001,21.948643,449200
2016-03-04,27.480000,27.540001,27.120001,27.250000,21.662460,418300
2016-03-07,26.809999,27.200001,26.770000,27.160000,21.590914,257100
2016-03-08,27.260000,27.370001,27.070000,27.080000,21.527315,310600
2016-03-09,27.410000,27.459999,27.110001,27.170000,21.598860,259000
2016-03-10,26.879999,27.150000,26.459999,26.730000,21.634470,425200
2016-03-11,27.540001,27.959999,27.510000,27.860001,22.549061,448000
2016-03-14,28.340000,28.400000,27.879999,27.879999,22.565252,383200
2016-03-15,27.540001,27.570000,27.299999,27.549999,22.298161,191900
2016-03-16,27.120001,27.660000,27.110001,27.590000,22.330530,444600
2016-03-17,27.730000,28.260000,27.650000,28.190001,22.816156,192400
2016-03-18,28.320000,28.360001,28.129999,28.190001,22.816156,267900
2016-03-21,27.799999,27.950001,27.760000,27.830000,22.524784,560500
2016-03-22,27.580000,27.860001,27.570000,27.740000,22.451941,259400
2016-03-23,27.610001,27.709999,27.240000,27.280001,22.079630,195000
2016-03-24,27.600000,27.709999,27.530001,27.660000,22.387192,281400
2016-03-28,27.840000,27.950001,27.660000,27.809999,22.508596,95700
2016-03-29,28.020000,28.469999,27.959999,28.440001,23.018499,374700
2016-03-30,28.660000,28.780001,28.430000,28.469999,23.042780,209200
2016-03-31,28.410000,28.410000,28.110001,28.180000,22.808064,344500
2016-04-01,27.900000,28.330000,27.889999,28.280001,22.889000,267000
