Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,80.660004,81.080002,78.849998,79.680000,71.358131,344800
2016-01-12,80.419998,81.330002,78.730003,79.949997,71.599930,644000
2016-01-13,80.129997,81.190002,78.250000,78.300003,70.122276,652400
2016-01-14,78.480003,81.389999,78.120003,80.639999,72.217842,456000
2016-01-15,78.739998,80.099998,78.309998,79.550003,71.241707,387400
2016-01-19,80.309998,80.320000,77.809998,78.500000,70.301361,353200
2016-01-20,77.559998,78.330002,75.169998,77.820000,69.692375,566700
2016-01-21,78.199997,78.839996,77.059998,78.260002,70.086433,695700
2016-01-22,78.620003,80.629997,78.620003,80.089996,71.725288,445900
2016-01-25,79.750000,79.980003,78.680000,79.470001,71.170067,736100
2016-01-26,79.620003,80.709999,79.250000,80.129997,71.761101,559100
2016-01-27,80.230003,81.010002,79.040001,79.629997,71.313324,509100
2016-01-28,80.250000,80.720001,79.449997,80.589996,72.173073,422400
2016-01-29,81.059998,83.680000,80.790001,83.680000,74.940361,489700
2016-02-01,83.169998,83.730003,82.660004,83.510002,74.788109,290700
2016-02-02,82.540001,82.970001,81.809998,81.930000,73.373108,242800
2016-02-03,82.440002,83.589996,80.949997,83.309998,74.608978,589100
2016-02-04,85.000000,90.139999,85.000000,87.660004,78.504677,922700
2016-02-05,87.699997,87.800003,86.010002,86.620003,77.573296,595100
2016-02-08,85.680000,87.000000,85.349998,86.529999,77.492699,526000
2016-02-09,85.760002,86.959999,85.550003,85.830002,76.865791,552200
2016-02-10,86.190002,87.059998,85.459999,85.589996,76.650864,449600
2016-02-11,84.470001,85.220001,83.230003,83.650002,74.913490,560800
2016-02-12,84.510002,85.330002,83.669998,83.889999,75.128410,653300
2016-02-16,84.800003,85.360001,83.629997,84.430000,75.883369,1306300
2016-02-17,85.180000,87.919998,85.169998,87.730003,78.849327,655400
2016-02-18,88.000000,88.690002,87.550003,88.050003,79.136940,597600
2016-02-19,87.870003,88.669998,87.699997,87.889999,78.993149,511600
2016-02-22,88.870003,89.860001,87.730003,88.699997,79.721161,259900
2016-02-23,88.230003,89.820000,88.220001,88.639999,79.667229,785500
2016-02-24,87.610001,88.580002,87.089996,88.209999,79.280746,442800
2016-02-25,88.330002,89.180000,88.330002,89.089996,80.071648,568900
2016-02-26,89.570000,90.639999,89.110001,90.440002,81.285034,337500
2016-02-29,90.269997,90.940002,90.050003,90.160004,81.033356,350600
2016-03-01,91.059998,92.250000,90.470001,91.959999,82.651138,361200
2016-03-02,91.650002,92.970001,91.620003,92.940002,83.531929,290000
2016-03-03,92.959999,93.720001,92.349998,93.389999,83.936401,307700
2016-03-04,93.169998,94.599998,93.169998,93.930000,84.421745,360700
2016-03-07,93.589996,94.320000,93.360001,93.980003,84.466682,332000
2016-03-08,93.379997,94.169998,92.570000,94.029999,84.511620,506700
2016-03-09,94.269997,94.650002,93.970001,94.379997,84.826195,305500
2016-03-10,94.779999,95.089996,93.459999,95.070000,85.446350,431400
2016-03-11,95.830002,96.279999,95.260002,95.800003,86.102448,260000
2016-03-14,95.309998,96.000000,94.230003,94.629997,85.050865,308700
2016-03-15,94.139999,95.309998,93.330002,94.959999,85.347466,293400
2016-03-16,94.959999,95.639999,94.250000,95.080002,85.455338,855700
2016-03-17,95.250000,98.000000,95.190002,97.540001,87.666298,610100
2016-03-18,97.190002,98.650002,97.190002,98.260002,88.313408,621000
2016-03-21,97.980003,98.339996,97.279999,98.110001,88.178596,251500
2016-03-22,98.000000,98.779999,97.389999,98.239998,88.295448,479300
2016-03-23,97.760002,98.559998,96.900002,97.800003,87.899963,253700
2016-03-24,97.150002,97.370003,96.550003,97.279999,87.432625,334700
2016-03-28,97.529999,97.940002,97.129997,97.519997,87.648315,272500
2016-03-29,97.500000,99.389999,97.470001,98.750000,88.753815,576000
2016-03-30,99.000000,100.099998,98.610001,99.790001,89.688538,435100
