Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,3.215000,3.215000,3.050000,3.065000,2.446737,24400
2016-01-12,3.195000,3.385000,3.025000,3.100000,2.474676,15200
2016-01-13,3.320000,3.320000,3.025000,3.040000,2.426780,17200
2016-01-14,3.030000,3.085000,3.020000,3.085000,2.462703,2200
2016-01-15,3.005000,3.030000,2.905000,2.950000,2.354935,15400
2016-01-19,2.920000,3.035000,2.915000,3.035000,2.422789,5200
2016-01-20,2.965000,2.965000,2.740000,2.870000,2.291072,15000
2016-01-21,2.950000,2.950000,2.830000,2.875000,2.295063,1800
2016-01-22,2.890000,2.995000,2.735000,2.780000,2.219227,45200
2016-01-25,2.945000,2.945000,2.790000,2.790000,2.227209,14800
2016-01-26,2.815000,2.915000,2.790000,2.910000,2.323003,15000
2016-01-27,2.840000,2.925000,2.795000,2.910000,2.323003,7600
2016-01-28,2.800000,2.870000,2.780000,2.820000,2.251158,8600
2016-01-29,2.785000,2.825000,2.765000,2.800000,2.235192,26600
2016-02-01,2.755000,2.870000,2.725000,2.760000,2.203261,22800
2016-02-02,2.845000,2.845000,2.740000,2.815000,2.247167,9400
2016-02-03,2.825000,2.845000,2.825000,2.845000,2.271115,1000
2016-02-04,2.840000,2.855000,2.785000,2.855000,2.279098,5600
2016-02-05,2.795000,2.855000,2.795000,2.835000,2.263132,3800
2016-02-08,2.850000,2.855000,2.835000,2.855000,2.279098,3400
2016-02-09,2.765000,2.815000,2.765000,2.815000,2.247167,600
2016-02-10,2.850000,2.850000,2.750000,2.755000,2.199270,6200
2016-02-11,2.805000,2.825000,2.735000,2.765000,2.207252,1200
2016-02-12,2.790000,2.790000,2.740000,2.785000,2.223217,4600
2016-02-16,2.790000,2.950000,2.680000,2.820000,2.251158,75000
2016-02-17,2.985000,2.985000,2.900000,2.900000,2.315021,1600
2016-02-18,2.780000,2.800000,2.750000,2.775000,2.215235,8600
2016-02-19,2.825000,2.825000,2.755000,2.765000,2.207252,2600
2016-02-22,2.800000,2.940000,2.735000,2.735000,2.183304,23200
2016-02-23,2.825000,2.825000,2.715000,2.790000,2.227209,11000
2016-02-24,2.760000,2.840000,2.705000,2.770000,2.255711,20000
2016-02-25,2.745000,2.770000,2.710000,2.770000,2.255711,3400
2016-02-26,2.785000,2.800000,2.710000,2.750000,2.239425,4400
2016-02-29,2.705000,2.800000,2.705000,2.800000,2.280141,15600
2016-03-01,2.800000,2.810000,2.720000,2.770000,2.255711,20000
2016-03-02,2.700000,2.780000,2.700000,2.780000,2.263854,6400
2016-03-03,2.780000,2.810000,2.740000,2.790000,2.271998,46200
2016-03-04,2.810000,2.810000,2.770000,2.770000,2.255711,6400
2016-03-07,2.750000,2.840000,2.750000,2.825000,2.300499,29200
2016-03-08,2.825000,2.835000,2.755000,2.820000,2.296428,12600
2016-03-09,2.750000,2.815000,2.745000,2.800000,2.280141,5800
2016-03-10,2.820000,2.820000,2.820000,2.820000,2.296428,200
2016-03-11,2.865000,3.000000,2.790000,2.855000,2.324930,69600
2016-03-14,2.775000,3.040000,2.775000,3.005000,2.447081,57200
2016-03-15,2.950000,3.050000,2.950000,3.015000,2.455224,26600
2016-03-16,3.000000,3.015000,2.990000,3.015000,2.455224,7000
2016-03-17,3.010000,3.110000,2.990000,3.090000,2.516299,44200
2016-03-18,3.075000,3.100000,3.030000,3.080000,2.508155,15400
2016-03-21,3.090000,3.090000,3.080000,3.080000,2.508155,3400
2016-03-22,2.975000,3.100000,2.975000,3.095000,2.520370,7000
2016-03-23,3.090000,3.125000,3.080000,3.120000,2.540728,15000
2016-03-24,3.125000,3.150000,3.125000,3.130000,2.548872,5000
2016-03-28,3.145000,3.240000,3.145000,3.205000,2.609947,3600
2016-03-29,3.210000,3.210000,2.905000,2.995000,2.438937,65000
2016-03-30,3.015000,3.025000,2.985000,2.985000,2.430794,10000
2016-03-31,2.905000,3.025000,2.905000,2.985000,2.430794,7800
2016-04-01,2.990000,3.020000,2.975000,2.985000,2.430794,4600
2016-04-04,3.010000,3.040000,2.995000,3.020000,2.459295,8400
2016-04-05,3.035000,3.035000,3.030000,3.030000,2.467439,1200
2016-04-06,3.010000,3.090000,3.005000,3.090000,2.516299,7000
2016-04-07,3.055000,3.070000,3.055000,3.070000,2.500012,4200
2016-04-08,3.225000,3.225000,3.135000,3.145000,2.561087,3400
2016-04-11,3.210000,3.210000,3.210000,3.210000,2.614019,2000
2016-04-12,3.150000,3.225000,3.090000,3.170000,2.581445,10600
2016-04-13,3.225000,3.225000,3.210000,3.210000,2.614019,1800
2016-04-14,3.100000,3.185000,3.055000,3.105000,2.528514,6400
2016-04-15,3.095000,3.200000,3.095000,3.170000,2.581445,8200
2016-04-18,3.125000,3.195000,3.125000,3.150000,2.565159,6800
2016-04-19,3.120000,3.200000,3.055000,3.200000,2.605875,12400
2016-04-20,3.105000,3.195000,3.105000,3.160000,2.573302,9000
2016-04-21,3.185000,3.255000,3.110000,3.175000,2.585518,5000
2016-04-22,3.150000,3.290000,3.150000,3.165000,2.577374,5000
2016-04-25,3.135000,3.290000,3.135000,3.260000,2.654736,5400
2016-04-26,3.295000,3.295000,3.210000,3.210000,2.614019,5200
2016-04-27,3.140000,3.255000,3.135000,3.255000,2.650665,1000
2016-04-28,3.255000,3.255000,3.255000,3.255000,2.650665,0
2016-04-29,3.275000,3.275000,3.275000,3.275000,2.666951,200
2016-05-02,3.175000,3.185000,3.175000,3.185000,2.593660,1800
2016-05-03,3.265000,3.265000,3.190000,3.245000,2.642521,1400
2016-05-04,3.140000,3.240000,3.140000,3.240000,2.638449,3400
2016-05-05,3.155000,3.170000,3.155000,3.170000,2.581445,800
2016-05-06,3.170000,3.175000,2.960000,3.140000,2.557016,10600
2016-05-09,3.145000,3.230000,3.050000,3.050000,2.483726,6800
2016-05-10,3.055000,3.205000,3.030000,3.180000,2.589589,7200
2016-05-11,3.495000,3.600000,3.475000,3.550000,2.890894,114800
2016-05-12,3.600000,3.725000,3.530000,3.665000,2.984541,74400
2016-05-13,3.650000,3.715000,3.645000,3.650000,2.972327,38800
2016-05-16,3.725000,3.725000,3.620000,3.645000,2.968255,16600
2016-05-17,3.650000,3.725000,3.650000,3.675000,2.992686,11600
2016-05-18,3.680000,3.680000,3.600000,3.635000,2.960112,26400
2016-05-19,3.705000,3.715000,3.600000,3.685000,3.000829,11600
2016-05-20,3.725000,3.725000,3.640000,3.710000,3.021187,7200
2016-05-23,3.725000,3.835000,3.725000,3.770000,3.070047,29400
2016-05-24,3.675000,3.840000,3.675000,3.830000,3.118907,12600
2016-05-25,3.455000,3.845000,3.450000,3.800000,3.139563,12400
2016-05-26,3.740000,3.875000,3.725000,3.850000,3.180873,23400
2016-05-27,3.875000,3.895000,3.860000,3.890000,3.213921,10400
2016-05-31,3.900000,3.900000,3.810000,3.860000,3.189134,21400
2016-06-01,3.765000,3.900000,3.765000,3.895000,3.218051,16400
2016-06-02,3.890000,3.890000,3.855000,3.855000,3.185004,4000
2016-06-03,3.855000,3.895000,3.845000,3.890000,3.213921,9400
2016-06-06,3.890000,3.895000,3.830000,3.895000,3.218051,12000
2016-06-07,3.865000,3.950000,3.865000,3.945000,3.259362,16400
2016-06-08,3.970000,3.970000,3.915000,3.970000,3.280017,7000
2016-06-09,3.950000,4.000000,3.930000,3.930000,3.246969,10000
2016-06-10,3.950000,4.100000,3.950000,4.090000,3.379161,38000
2016-06-13,4.100000,4.110000,4.055000,4.110000,3.395685,22400
2016-06-14,4.110000,4.150000,4.090000,4.150000,3.428733,17600
2016-06-15,4.100000,4.260000,4.100000,4.260000,3.519615,35800
2016-06-16,4.310000,4.500000,4.295000,4.465000,3.688986,64000
2016-06-17,4.425000,4.545000,4.405000,4.405000,3.639414,69400
2016-06-20,4.435000,4.500000,3.950000,4.365000,3.606366,36400
2016-06-21,4.365000,4.495000,4.260000,4.260000,3.519615,31000
2016-06-22,4.345000,4.450000,4.250000,4.420000,3.651806,17400
