Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,7.793333,7.930000,7.726667,7.840000,6.911657,33202800
2016-01-12,7.860000,8.046667,7.736667,7.900000,6.964551,35683500
2016-01-13,7.840000,7.970000,7.250000,7.450000,6.567837,66072600
2016-01-14,7.550000,7.930000,7.520000,7.753333,6.835253,49757700
2016-01-15,7.416667,7.610000,7.383333,7.586667,6.688320,37858200
2016-01-19,7.706667,7.766667,7.490000,7.576667,6.679504,32702100
2016-01-20,7.430000,7.526667,7.110000,7.430000,6.550205,31733100
2016-01-21,7.333333,7.603333,7.220000,7.453333,6.570776,32120100
2016-01-22,7.640000,7.740000,7.376667,7.473333,6.588408,28357200
2016-01-25,7.450000,7.506667,7.303333,7.323333,6.456169,16827900
2016-01-26,7.383333,7.450000,7.336667,7.423333,6.544329,27640500
2016-01-27,7.433333,7.556667,7.266667,7.323333,6.456169,29139300
2016-01-28,7.423333,7.506667,7.343333,7.456667,6.573715,18869100
2016-01-29,7.516667,7.676667,7.510000,7.673333,6.764725,25535100
2016-02-01,7.533333,7.663333,7.460000,7.620000,6.717708,25363200
2016-02-02,7.536667,7.560000,7.286667,7.343333,6.473802,20963100
2016-02-03,7.446667,7.510000,7.213333,7.453333,6.570776,21894600
2016-02-04,7.450000,7.816667,7.450000,7.683333,6.773541,31164600
2016-02-05,7.680000,7.750000,7.553333,7.610000,6.708891,19874400
2016-02-08,7.546667,7.686667,7.426667,7.670000,6.761787,33921000
2016-02-09,7.520000,7.976667,7.520000,7.960000,7.017448,50518500
2016-02-10,8.006667,8.123333,7.946667,8.043333,7.090913,36725700
2016-02-11,7.883333,7.980000,7.680000,7.803333,6.879331,24627900
2016-02-12,7.756667,8.073333,7.753333,8.063333,7.108544,24681900
2016-02-16,8.260000,8.330000,7.990000,8.253333,7.276046,35034900
2016-02-17,8.123333,8.393333,7.916667,8.276667,7.296617,37863000
2016-02-18,8.273333,8.360000,8.183333,8.273333,7.293679,27202200
2016-02-19,8.213333,8.303333,8.136667,8.170000,7.202582,98073000
2016-02-22,8.480000,8.570000,8.403333,8.433333,7.434733,29265900
2016-02-23,8.286667,8.466667,8.120000,8.126667,7.164380,27008400
2016-02-24,8.003333,8.230000,7.860000,8.163333,7.196704,27408900
2016-02-25,8.140000,8.233333,8.016667,8.120000,7.211505,20452500
2016-02-26,8.166667,8.270000,8.090000,8.103333,7.196704,25172400
2016-02-29,8.086667,8.166667,8.003333,8.046667,7.146377,25877400
2016-03-01,8.150000,8.320000,8.086667,8.213333,7.294396,41559000
2016-03-02,8.380000,8.406667,8.166667,8.183333,7.267752,78298500
2016-03-03,8.183333,8.350000,8.150000,8.300000,7.371368,81167100
2016-03-04,8.353333,8.500000,8.286667,8.410000,7.469061,31281000
2016-03-07,8.403333,8.560000,8.350000,8.513333,7.560831,23117100
2016-03-08,8.416667,8.446667,8.223333,8.233333,7.312160,23278800
2016-03-09,8.246667,8.393333,8.233333,8.360000,7.424654,24903600
2016-03-10,8.423333,8.556667,8.283333,8.430000,7.486824,26139000
2016-03-11,8.536667,8.726667,8.500000,8.700000,7.726614,26196600
2016-03-14,8.730000,8.803333,8.660000,8.726667,7.750299,32397600
2016-03-15,8.656667,8.670000,8.536667,8.650000,7.682210,21555900
2016-03-16,8.626667,8.766667,8.583333,8.726667,7.750299,15552900
2016-03-17,8.746667,8.930000,8.710000,8.896667,7.901277,19268400
2016-03-18,8.953333,9.090000,8.896667,9.006667,7.998971,40562100
2016-03-21,9.020000,9.046667,8.810000,8.886667,7.892395,14460000
2016-03-22,8.810000,8.863333,8.770000,8.790000,7.806543,14919000
2016-03-23,8.783333,8.790000,8.603333,8.620000,7.655567,19157400
2016-03-24,8.590000,8.726667,8.503333,8.723333,7.747335,12965100
2016-03-28,8.680000,8.716667,8.476667,8.540000,7.584513,16815000
2016-03-29,8.466667,8.663333,8.343333,8.630000,7.664448,18030600
2016-03-30,8.670000,8.820000,8.643333,8.766667,7.785821,19602300
2016-03-31,8.686667,8.760000,8.560000,8.583333,7.622999,28235700
2016-04-01,8.546667,8.570000,8.390000,8.540000,7.584513,32401800
2016-04-04,8.510000,8.580000,8.343333,8.386667,7.448338,57585300
2016-04-05,8.340000,8.403333,8.240000,8.350000,7.415776,27264900
2016-04-06,8.336667,8.353333,8.153333,8.283333,7.356565,30739200
2016-04-07,8.220000,8.293333,8.153333,8.206667,7.288476,26733300
