Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,33.759998,34.209999,33.500000,33.730000,24.548155,48500
2016-01-12,34.200001,34.200001,33.200001,33.500000,24.380760,48400
2016-01-13,33.799999,33.799999,32.290001,32.570000,23.703928,66700
2016-01-14,32.950001,33.000000,32.180000,32.279999,23.492867,49200
2016-01-15,31.600000,32.200001,30.889999,31.590000,22.990692,47600
2016-01-19,31.930000,32.000000,31.020000,31.420000,22.866966,72500
2016-01-20,31.200001,33.230000,31.200001,32.919998,23.958649,108600
2016-01-21,33.330002,34.529999,33.049999,34.119999,24.831991,109400
2016-01-22,34.349998,34.570000,33.709999,34.049999,24.781044,81200
2016-01-25,34.220001,34.220001,32.849998,32.939999,23.973207,43000
2016-01-26,33.230000,34.049999,32.759998,33.549999,24.417158,44200
2016-01-27,33.380001,34.279999,33.360001,33.660000,24.497206,47900
2016-01-28,33.880001,34.240002,33.590000,33.610001,24.460815,39300
2016-01-29,33.779999,34.959999,33.610001,34.840000,25.355988,64900
2016-02-01,34.810001,35.380001,34.560001,34.779999,25.312321,43300
2016-02-02,34.580002,34.740002,34.160000,34.450001,25.072157,29600
2016-02-03,34.610001,36.000000,33.799999,34.099998,24.817434,48900
2016-02-04,34.130001,34.610001,33.480000,33.580002,24.438986,67700
2016-02-05,33.580002,33.970001,32.750000,32.750000,23.834923,85700
2016-02-08,32.599998,34.000000,31.870001,33.990002,24.737383,37700
2016-02-09,33.669998,33.959999,33.380001,33.700001,24.526318,49500
2016-02-10,33.970001,33.990002,33.200001,33.509998,24.388046,30600
2016-02-11,32.869999,33.180000,32.599998,32.980000,24.002314,22000
2016-02-12,33.240002,33.799999,33.000000,33.549999,24.417158,34600
2016-02-16,34.000000,34.150002,33.500000,33.540001,24.409876,48100
2016-02-17,33.900002,34.169998,32.930000,33.720001,24.540878,49800
2016-02-18,33.680000,34.119999,33.200001,33.330002,24.257040,42900
2016-02-19,33.330002,33.959999,33.310001,33.599998,24.453541,36800
2016-02-22,34.029999,34.169998,33.529999,33.570000,24.431711,36100
2016-02-23,33.459999,33.869999,33.259998,33.290001,24.227934,32100
2016-02-24,33.009998,33.869999,32.980000,33.770000,24.577265,23100
2016-02-25,33.770000,33.950001,33.529999,33.700001,24.526318,25400
2016-02-26,33.750000,34.299999,33.639999,33.720001,24.540878,42400
2016-02-29,33.730000,34.419998,33.680000,33.720001,24.540878,49600
2016-03-01,33.840000,34.490002,33.700001,34.189999,24.882935,28400
2016-03-02,34.049999,34.560001,34.049999,34.389999,25.028490,26600
2016-03-03,34.279999,34.820000,34.160000,34.610001,25.188602,48400
2016-03-04,34.549999,35.080002,34.360001,34.560001,25.152220,36900
2016-03-07,34.700001,35.020000,34.700001,35.009998,25.479712,23900
2016-03-08,34.709999,35.160000,34.410000,34.619999,25.195879,23100
2016-03-09,34.680000,34.849998,34.279999,34.509998,25.115824,25800
2016-03-10,34.570000,34.639999,34.310001,34.570000,25.159491,25200
2016-03-11,34.490002,35.000000,34.340000,34.980000,25.688236,31700
2016-03-14,34.689999,34.970001,34.410000,34.500000,25.335739,12900
2016-03-15,34.410000,34.630001,34.279999,34.330002,25.210901,30200
2016-03-16,34.279999,34.619999,34.060001,34.180000,25.100742,41300
2016-03-17,34.130001,35.209999,33.930000,34.869999,25.607454,23100
2016-03-18,35.060001,35.490002,34.970001,35.430000,26.018707,72500
2016-03-21,35.439999,35.500000,34.820000,34.860001,25.600113,24700
