Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,5.260000,5.260000,5.260000,5.260000,5.260000,300
2016-01-12,5.320000,5.400000,5.030000,5.260000,5.260000,1500
2016-01-13,5.090000,5.320000,5.050000,5.050000,5.050000,4400
2016-01-14,5.150000,5.250000,5.080000,5.160000,5.160000,13200
2016-01-15,5.050000,5.140000,5.000000,5.000000,5.000000,3300
2016-01-19,5.050000,5.050000,4.750000,4.960000,4.960000,5700
2016-01-20,5.080000,5.080000,4.810000,5.060000,5.060000,7900
2016-01-21,5.000000,5.000000,4.920000,4.990000,4.990000,2800
2016-01-22,5.000000,5.520000,4.950000,5.410000,5.410000,4900
2016-01-25,5.650000,5.650000,5.100000,5.360000,5.360000,2600
2016-01-26,5.580000,5.800000,5.200000,5.250000,5.250000,11100
2016-01-27,5.070000,5.210000,5.070000,5.180000,5.180000,2000
2016-01-28,5.270000,5.620000,5.100000,5.120000,5.120000,5700
2016-01-29,5.150000,5.150000,5.010000,5.010000,5.010000,2100
2016-02-01,4.990000,5.190000,4.990000,5.140000,5.140000,1100
2016-02-02,5.010000,5.180000,5.010000,5.180000,5.180000,3500
2016-02-03,5.060000,5.110000,5.020000,5.110000,5.110000,4000
2016-02-04,5.020000,5.110000,5.020000,5.110000,5.110000,300
2016-02-05,5.110000,5.110000,5.000000,5.000000,5.000000,3900
2016-02-08,4.940000,4.950000,4.750000,4.800000,4.800000,15700
2016-02-09,4.800000,4.800000,4.710000,4.740000,4.740000,1900
2016-02-10,4.730000,4.940000,4.730000,4.930000,4.930000,1400
2016-02-11,4.680000,4.700000,3.600000,3.890000,3.890000,175700
2016-02-12,3.790000,4.130000,3.790000,4.120000,4.120000,21200
2016-02-16,4.250000,4.490000,4.150000,4.160000,4.160000,6100
2016-02-17,4.610000,4.640000,4.060000,4.500000,4.500000,19000
2016-02-18,4.280000,4.280000,4.000000,4.100000,4.100000,11500
2016-02-19,4.140000,4.140000,4.140000,4.140000,4.140000,200
2016-02-22,4.350000,4.350000,4.030000,4.140000,4.140000,2100
2016-02-23,4.450000,4.450000,4.080000,4.080000,4.080000,400
2016-02-24,4.280000,4.360000,4.280000,4.360000,4.360000,300
2016-02-25,4.340000,4.410000,4.180000,4.180000,4.180000,1000
2016-02-26,4.160000,4.470000,4.160000,4.420000,4.420000,1400
2016-02-29,4.240000,4.460000,4.240000,4.460000,4.460000,1100
2016-03-01,4.210000,4.210000,4.210000,4.210000,4.210000,100
2016-03-02,4.240000,4.520000,4.240000,4.280000,4.280000,3300
2016-03-03,4.500000,4.580000,4.310000,4.450000,4.450000,9000
2016-03-04,4.500000,4.780000,4.430000,4.600000,4.600000,13600
2016-03-07,4.580000,4.620000,4.580000,4.620000,4.620000,700
2016-03-08,4.680000,4.980000,4.680000,4.980000,4.980000,400
2016-03-09,4.860000,4.870000,4.860000,4.870000,4.870000,1200
2016-03-10,4.990000,4.990000,4.700000,4.740000,4.740000,3100
2016-03-11,5.370000,5.370000,4.960000,4.960000,4.960000,1500
2016-03-14,4.890000,4.950000,4.890000,4.920000,4.920000,1600
2016-03-15,4.900000,4.900000,4.900000,4.900000,4.900000,400
2016-03-16,4.900000,5.050000,4.660000,4.960000,4.960000,31400
2016-03-17,4.920000,4.930000,4.760000,4.920000,4.920000,2600
2016-03-18,5.120000,5.120000,4.970000,5.060000,5.060000,12600
2016-03-21,5.060000,5.060000,5.010000,5.060000,5.060000,19400
2016-03-22,4.990000,5.030000,4.900000,4.990000,4.990000,6000
2016-03-23,5.030000,5.080000,4.980000,5.060000,5.060000,18700
2016-03-24,5.090000,5.250000,5.040000,5.120000,5.120000,4100
2016-03-28,5.190000,5.190000,5.170000,5.170000,5.170000,1000
2016-03-29,4.980000,5.150000,4.980000,5.050000,5.050000,3500
2016-03-30,5.200000,5.200000,5.020000,5.190000,5.190000,800
2016-03-31,4.980000,5.110000,4.980000,4.980000,4.980000,3200
2016-04-01,5.030000,5.200000,5.030000,5.160000,5.160000,6800
2016-04-04,5.090000,5.240000,5.090000,5.200000,5.200000,5600
2016-04-05,5.190000,5.250000,5.190000,5.250000,5.250000,2900
2016-04-06,5.150000,5.150000,4.970000,4.970000,4.970000,1800
2016-04-07,4.910000,4.920000,4.870000,4.870000,4.870000,2500
2016-04-08,4.930000,5.080000,4.930000,5.080000,5.080000,900
2016-04-11,5.100000,5.100000,5.000000,5.020000,5.020000,5000
2016-04-12,5.020000,5.020000,5.020000,5.020000,5.020000,200
2016-04-13,5.020000,5.020000,5.020000,5.020000,5.020000,0
2016-04-14,5.000000,5.000000,4.880000,5.000000,5.000000,2800
2016-04-15,4.880000,5.000000,4.870000,4.870000,4.870000,1500
2016-04-18,4.830000,4.890000,4.760000,4.760000,4.760000,1000
2016-04-19,4.790000,4.830000,4.790000,4.830000,4.830000,300
2016-04-20,4.980000,4.980000,4.930000,4.930000,4.930000,400
2016-04-21,4.930000,4.930000,4.930000,4.930000,4.930000,0
2016-04-22,4.850000,4.950000,4.770000,4.950000,4.950000,3300
2016-04-25,5.000000,5.000000,4.860000,4.910000,4.910000,2300
2016-04-26,5.000000,5.000000,4.860000,4.980000,4.980000,500
2016-04-27,4.850000,4.900000,4.850000,4.900000,4.900000,2500
2016-04-28,4.900000,4.900000,4.900000,4.900000,4.900000,0
2016-04-29,4.860000,4.900000,4.850000,4.890000,4.890000,700
2016-05-02,4.990000,5.000000,4.910000,4.910000,4.910000,400
2016-05-03,4.910000,4.980000,4.900000,4.920000,4.920000,2200
2016-05-04,4.900000,4.960000,4.900000,4.900000,4.900000,8600
2016-05-05,4.900000,4.900000,4.900000,4.900000,4.900000,400
2016-05-06,4.990000,5.000000,4.990000,5.000000,5.000000,3000
2016-05-09,5.010000,5.670000,5.010000,5.500000,5.500000,13100
2016-05-10,5.290000,5.750000,5.280000,5.410000,5.410000,7900
2016-05-11,5.510000,5.660000,5.400000,5.460000,5.460000,3400
2016-05-12,5.660000,5.800000,5.600000,5.650000,5.650000,8200
2016-05-13,5.650000,5.650000,5.650000,5.650000,5.650000,0
2016-05-16,5.620000,5.650000,5.210000,5.210000,5.210000,1300
2016-05-17,5.310000,5.500000,5.310000,5.450000,5.450000,10600
2016-05-18,5.310000,5.550000,5.310000,5.410000,5.410000,7200
2016-05-19,5.410000,5.410000,5.410000,5.410000,5.410000,0
2016-05-20,5.320000,5.330000,5.030000,5.050000,5.050000,4200
2016-05-23,5.200000,5.200000,4.950000,4.950000,4.950000,1000
2016-05-24,5.000000,5.060000,5.000000,5.060000,5.060000,6800
2016-05-25,5.040000,5.040000,4.950000,4.990000,4.990000,1100
2016-05-26,5.230000,5.270000,4.950000,4.960000,4.960000,3100
2016-05-27,4.900000,5.040000,4.900000,5.030000,5.030000,1800
2016-05-31,5.290000,5.290000,4.950000,4.950000,4.950000,4100
