Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,29.150000,29.559999,28.080000,29.430000,21.760012,21900
2016-01-12,29.610001,29.620001,28.860001,29.090000,21.508617,36900
2016-01-13,29.139999,29.139999,27.530001,27.760000,20.525238,45300
2016-01-14,27.950001,28.480000,27.280001,27.900000,20.628750,31200
2016-01-15,27.240000,27.570000,26.500000,27.180000,20.096399,55700
2016-01-19,27.440001,27.500000,26.840000,27.320000,20.199911,58100
2016-01-20,26.900000,27.520000,26.230000,27.260000,20.326675,57500
2016-01-21,27.910000,27.910000,26.629999,26.770000,19.961304,34500
2016-01-22,26.920000,27.070000,26.360001,26.950001,20.095518,41400
2016-01-25,26.830000,27.000000,26.330000,26.570000,19.812176,57200
2016-01-26,26.760000,27.020000,26.760000,26.969999,20.110432,36500
2016-01-27,26.950001,27.209999,26.799999,27.040001,20.162630,38100
2016-01-28,27.270000,27.870001,27.270000,27.700001,20.654766,22900
2016-01-29,28.110001,29.120001,28.000000,29.110001,21.706141,88500
2016-02-01,29.110001,29.139999,28.270000,28.340000,21.131983,38200
2016-02-02,28.180000,28.180000,27.340000,27.799999,20.729328,33800
2016-02-03,28.040001,28.430000,27.139999,27.850000,20.766613,29700
2016-02-04,27.820000,27.990000,27.389999,27.799999,20.729328,60700
2016-02-05,27.799999,27.799999,27.440001,27.490000,20.498182,60900
2016-02-08,27.500000,28.100000,27.070000,27.850000,20.766613,72500
2016-02-09,28.049999,28.150000,27.660000,28.100000,20.953032,47600
2016-02-10,28.230000,28.410000,27.750000,27.900000,20.803892,44600
2016-02-11,27.400000,27.900000,27.400000,27.770000,20.706959,25900
2016-02-12,28.020000,28.549999,28.000000,28.520000,21.266201,29500
2016-02-16,28.770000,29.049999,28.590000,28.969999,21.601757,36600
2016-02-17,29.020000,29.129999,28.650000,28.920000,21.564466,94000
2016-02-18,28.900000,29.219999,28.799999,28.879999,21.534641,35400
2016-02-19,28.870001,29.320000,28.870001,29.080000,21.683775,57500
2016-02-22,29.280001,29.709999,28.670000,28.809999,21.482447,61600
2016-02-23,28.629999,28.990000,28.430000,28.440001,21.206551,20800
2016-02-24,28.209999,28.530001,28.129999,28.450001,21.214005,23500
2016-02-25,28.510000,28.740000,28.379999,28.639999,21.355677,36400
2016-02-26,28.610001,29.030001,28.480000,28.570000,21.303490,47600
2016-02-29,28.500000,28.709999,28.290001,28.410000,21.184183,70900
2016-03-01,28.440001,28.910000,28.250000,28.590000,21.318399,40300
2016-03-02,28.469999,28.680000,28.459999,28.590000,21.318399,48200
2016-03-03,28.520000,29.290001,28.420000,29.090000,21.691231,56300
2016-03-04,29.110001,29.240000,28.389999,28.709999,21.407873,63000
2016-03-07,28.709999,29.090000,28.549999,28.750000,21.437708,31800
2016-03-08,28.600000,29.030001,28.600000,28.750000,21.437708,37200
2016-03-09,28.799999,28.820000,28.600000,28.809999,21.482447,36900
2016-03-10,29.059999,29.059999,28.200001,28.730000,21.422791,29300
2016-03-11,29.020000,29.600000,29.020000,29.480000,21.982037,59300
2016-03-14,29.290001,29.469999,29.110001,29.389999,21.914925,20000
2016-03-15,29.350000,29.600000,28.940001,29.020000,21.639036,31500
2016-03-16,28.950001,29.190001,28.400000,28.770000,21.452616,28300
2016-03-17,28.620001,28.790001,28.299999,28.730000,21.422791,55700
2016-03-18,28.940001,29.340000,28.860001,29.250000,21.810534,75800
2016-03-21,29.219999,29.510000,28.010000,29.510000,22.004406,27600
2016-03-22,29.500000,29.610001,29.180000,29.400000,21.922380,51300
2016-03-23,29.270000,29.660000,29.270000,29.500000,21.996952,30200
2016-03-24,29.400000,29.660000,29.350000,29.660000,22.116257,23600
2016-03-28,29.610001,29.900000,29.559999,29.760000,22.190825,16800
2016-03-29,29.610001,30.520000,29.610001,30.219999,22.533823,82600
2016-03-30,30.230000,30.559999,30.040001,30.520000,22.757524,32100
2016-03-31,30.500000,30.709999,30.350000,30.469999,22.720242,37100
2016-04-01,30.360001,30.480000,30.120001,30.410000,22.675497,13700
2016-04-04,30.530001,30.580000,30.120001,30.320000,22.608387,27800
2016-04-05,30.180000,30.330000,29.969999,30.129999,22.466717,50400
