Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,9.140000,9.560000,9.090000,9.340000,9.340000,722700
2016-01-12,9.300000,9.580000,9.180000,9.350000,9.350000,410600
2016-01-13,9.250000,9.390000,9.100000,9.160000,9.160000,418700
2016-01-14,9.080000,9.320000,8.950000,9.200000,9.200000,472700
2016-01-15,9.000000,9.310000,8.930000,9.140000,9.140000,531000
2016-01-19,9.220000,9.280000,8.990000,9.110000,9.110000,407700
2016-01-20,9.040000,9.220000,8.850000,8.980000,8.980000,1020300
2016-01-21,9.030000,9.160000,8.710000,9.020000,9.020000,369100
2016-01-22,9.000000,9.250000,9.000000,9.200000,9.200000,353800
2016-01-25,9.190000,9.210000,8.970000,9.030000,9.030000,286700
2016-01-26,9.030000,9.340000,9.000000,9.160000,9.160000,414800
2016-01-27,9.130000,9.240000,9.050000,9.140000,9.140000,437100
2016-01-28,9.370000,9.490000,9.100000,9.210000,9.210000,484300
2016-01-29,9.210000,9.430000,9.210000,9.370000,9.370000,625900
2016-02-01,9.340000,9.590000,9.310000,9.490000,9.490000,575800
2016-02-02,9.430000,9.540000,9.300000,9.520000,9.520000,434100
2016-02-03,9.560000,9.620000,9.320000,9.410000,9.410000,439900
2016-02-04,9.400000,9.640000,9.290000,9.430000,9.430000,287300
2016-02-05,9.400000,9.490000,9.230000,9.290000,9.290000,709800
2016-02-08,9.210000,9.410000,9.140000,9.360000,9.360000,469800
2016-02-09,9.300000,9.480000,9.100000,9.230000,9.230000,558700
2016-02-10,9.280000,9.490000,9.220000,9.250000,9.250000,425200
2016-02-11,9.070000,9.370000,9.000000,9.270000,9.270000,319000
2016-02-12,9.360000,9.570000,9.180000,9.380000,9.380000,305600
2016-02-16,9.460000,9.570000,9.430000,9.540000,9.540000,317600
2016-02-17,9.550000,9.740000,9.530000,9.610000,9.610000,835900
2016-02-18,9.800000,10.250000,9.310000,10.030000,10.030000,2033000
2016-02-19,10.020000,10.280000,9.930000,10.090000,10.090000,787600
2016-02-22,10.200000,10.390000,10.100000,10.150000,10.150000,626000
2016-02-23,10.170000,10.390000,10.140000,10.270000,10.270000,425800
2016-02-24,10.220000,10.390000,10.150000,10.320000,10.320000,377300
2016-02-25,10.420000,10.520000,10.350000,10.420000,10.420000,358100
2016-02-26,10.480000,10.540000,10.290000,10.380000,10.380000,346900
2016-02-29,10.360000,10.480000,10.250000,10.330000,10.330000,475600
2016-03-01,10.390000,10.520000,10.270000,10.420000,10.420000,606300
2016-03-02,10.490000,10.590000,10.410000,10.490000,10.490000,407300
2016-03-03,10.450000,10.500000,10.350000,10.420000,10.420000,360400
2016-03-04,10.420000,10.540000,10.360000,10.380000,10.380000,473500
2016-03-07,10.310000,10.450000,10.240000,10.310000,10.310000,344600
2016-03-08,10.290000,10.590000,10.190000,10.250000,10.250000,513300
2016-03-09,10.250000,10.380000,10.240000,10.250000,10.250000,226500
2016-03-10,10.290000,10.330000,10.080000,10.190000,10.190000,375300
2016-03-11,10.190000,10.360000,10.050000,10.180000,10.180000,348600
2016-03-14,10.180000,10.270000,10.000000,10.040000,10.040000,346000
2016-03-15,10.020000,10.070000,9.880000,9.950000,9.950000,450300
2016-03-16,9.970000,10.130000,9.590000,10.050000,10.050000,423300
2016-03-17,10.000000,10.250000,10.000000,10.150000,10.150000,372600
2016-03-18,10.210000,10.380000,10.100000,10.270000,10.270000,560500
