Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,7.060000,7.070000,6.630000,6.650000,3.434180,1938300
2016-01-12,6.540000,6.560000,5.840000,6.370000,3.289583,5128200
2016-01-13,6.370000,6.510000,5.760000,5.800000,2.995225,2736800
2016-01-14,5.770000,5.870000,5.420000,5.800000,2.995225,3102100
2016-01-15,5.560000,5.670000,5.230000,5.510000,2.845464,2540700
2016-01-19,5.610000,5.850000,5.610000,5.670000,2.928091,2676400
2016-01-20,5.600000,5.600000,5.150000,5.360000,2.768001,3504700
2016-01-21,5.440000,5.770000,5.370000,5.720000,2.953912,6855100
2016-01-22,5.850000,6.060000,5.720000,5.830000,3.010718,2435800
2016-01-25,5.790000,5.850000,5.550000,5.560000,2.871284,1688800
2016-01-26,5.800000,5.800000,5.520000,5.760000,2.974568,2852400
2016-01-27,5.820000,5.860000,5.590000,5.700000,2.943583,3058200
2016-01-28,5.900000,6.000000,5.600000,5.630000,2.907434,1723500
2016-01-29,5.700000,5.800000,5.610000,5.780000,2.984896,2386900
2016-02-01,5.790000,5.940000,5.670000,5.910000,3.052031,2401500
2016-02-02,5.800000,5.830000,5.650000,5.700000,2.943583,2568300
2016-02-03,5.730000,5.920000,5.520000,5.920000,3.057195,3246700
2016-02-04,5.760000,6.040000,5.660000,5.780000,2.984896,3414700
2016-02-05,5.810000,6.000000,5.770000,5.830000,3.010718,2972300
2016-02-08,5.770000,5.770000,5.240000,5.440000,2.809314,3152700
2016-02-09,5.420000,5.510000,5.240000,5.250000,2.711195,2059800
2016-02-10,5.300000,5.300000,4.940000,5.160000,2.664717,4246100
2016-02-11,4.880000,5.180000,4.880000,4.990000,2.686251,2848400
2016-02-12,5.190000,5.670000,5.150000,5.590000,3.009246,3821300
2016-02-16,5.710000,5.790000,5.460000,5.690000,3.063080,2030200
2016-02-17,5.750000,5.990000,5.710000,5.730000,3.084612,2463300
2016-02-18,5.790000,5.840000,5.660000,5.720000,3.079229,1922800
2016-02-19,5.690000,6.070000,5.570000,6.060000,3.262261,2094100
2016-02-22,6.110000,6.230000,5.980000,6.010000,3.235344,1605300
2016-02-23,5.960000,6.040000,5.820000,5.820000,3.133062,1355700
2016-02-24,5.750000,5.810000,5.540000,5.780000,3.111528,1645100
2016-02-25,5.800000,5.850000,5.640000,5.780000,3.111528,2178500
2016-02-26,5.840000,5.860000,5.660000,5.750000,3.095380,1637400
2016-02-29,5.730000,5.920000,5.710000,5.830000,3.138445,2566000
2016-03-01,5.870000,5.980000,5.830000,5.880000,3.165362,1701400
2016-03-02,5.840000,5.840000,5.550000,5.680000,3.057696,2302400
2016-03-03,5.680000,5.830000,5.610000,5.820000,3.133062,1521700
2016-03-04,5.950000,6.190000,5.860000,5.940000,3.197660,2548500
2016-03-07,6.050000,6.430000,6.030000,6.310000,3.396842,2449200
2016-03-08,6.250000,6.330000,5.950000,6.010000,3.235344,1793900
2016-03-09,6.040000,6.160000,5.960000,6.090000,3.278410,1140800
2016-03-10,6.110000,6.160000,5.970000,6.130000,3.299943,1588300
2016-03-11,6.160000,6.430000,6.160000,6.430000,3.461441,1515500
2016-03-14,6.430000,6.450000,6.310000,6.370000,3.429141,1186600
2016-03-15,6.320000,6.340000,6.140000,6.240000,3.359158,1620100
2016-03-16,6.220000,6.480000,6.210000,6.320000,3.402225,2132700
2016-03-17,6.340000,6.440000,6.250000,6.300000,3.391460,1713600
2016-03-18,6.340000,6.340000,5.960000,6.120000,3.294559,2577000
2016-03-21,6.080000,6.160000,5.710000,5.800000,3.122295,2238100
2016-03-22,5.760000,5.790000,5.660000,5.710000,3.073845,1840700
2016-03-23,5.730000,5.770000,5.390000,5.510000,2.966181,2566300
2016-03-24,5.490000,5.730000,5.390000,5.730000,3.084612,1713500
2016-03-28,5.730000,5.750000,5.500000,5.590000,3.009246,1722200
2016-03-29,5.520000,5.670000,5.420000,5.600000,3.014629,1864900
2016-03-30,5.660000,5.930000,5.610000,5.830000,3.138445,2469900
2016-03-31,5.840000,5.970000,5.710000,5.760000,3.100762,2595100
2016-04-01,5.720000,5.770000,5.610000,5.680000,3.057696,1210500
2016-04-04,5.700000,5.740000,5.550000,5.550000,2.987713,1372700
2016-04-05,5.520000,5.630000,5.490000,5.600000,3.014629,1674300
2016-04-06,5.630000,5.650000,5.490000,5.620000,3.025396,1531300
2016-04-07,5.540000,5.610000,5.490000,5.530000,2.976948,1453700
2016-04-08,5.580000,5.590000,5.450000,5.530000,2.976948,1717100
2016-04-11,5.560000,5.790000,5.550000,5.710000,3.073845,1644800
2016-04-12,5.740000,5.930000,5.730000,5.820000,3.133062,1489700
2016-04-13,5.840000,5.980000,5.790000,5.910000,3.181511,1827800
2016-04-14,5.920000,6.000000,5.810000,5.890000,3.170745,1648300
2016-04-15,5.880000,5.910000,5.680000,5.700000,3.068463,3166100
2016-04-18,5.680000,6.020000,5.670000,5.990000,3.224576,1695200
2016-04-19,6.000000,6.100000,5.860000,5.920000,3.186894,2453200
2016-04-20,5.940000,6.010000,5.880000,5.950000,3.203044,1429200
2016-04-21,5.950000,5.960000,5.750000,5.910000,3.181511,1091400
2016-04-22,5.930000,6.000000,5.890000,5.940000,3.197660,1007000
2016-04-25,5.980000,6.080000,5.720000,5.840000,3.143828,2528600
2016-04-26,5.910000,5.940000,5.790000,5.910000,3.181511,1683100
2016-04-27,5.970000,6.020000,5.920000,5.950000,3.203044,2089100
2016-04-28,5.940000,5.970000,5.820000,5.890000,3.170745,2353400
2016-04-29,5.930000,5.970000,5.630000,5.740000,3.089995,3391500
2016-05-02,5.750000,5.800000,5.560000,5.790000,3.116912,2369800
2016-05-03,5.920000,5.950000,5.600000,5.610000,3.020013,3668100
2016-05-04,5.690000,5.710000,5.500000,5.520000,2.971563,5096700
2016-05-05,5.600000,5.790000,5.590000,5.660000,3.046929,2641600
2016-05-06,5.690000,5.850000,5.650000,5.710000,3.073845,1996400
2016-05-09,5.790000,6.000000,5.750000,5.950000,3.203044,3019900
2016-05-10,5.980000,6.000000,5.820000,5.830000,3.138445,2536900
2016-05-11,5.900000,5.940000,5.760000,5.900000,3.176128,4232700
2016-05-12,5.730000,5.810000,5.580000,5.610000,3.153642,2224200
2016-05-13,5.620000,5.700000,5.520000,5.580000,3.136778,1411800
2016-05-16,5.650000,5.680000,5.530000,5.610000,3.153642,1535300
2016-05-17,5.600000,5.680000,5.540000,5.540000,3.114292,1672500
2016-05-18,5.540000,5.570000,5.370000,5.410000,3.041213,2448900
