Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,34.720001,34.720001,33.950001,34.419998,27.063936,3696300
2016-01-12,34.930000,35.619999,34.730000,35.330002,27.779469,2026000
2016-01-13,35.320000,35.400002,34.189999,34.240002,26.922415,2010900
2016-01-14,34.250000,34.860001,33.720001,34.320000,26.985317,1738300
2016-01-15,33.439999,34.459999,33.439999,34.240002,26.922415,2415200
2016-01-19,34.509998,34.680000,33.700001,34.360001,27.016773,2583800
2016-01-20,34.099998,36.509998,33.790001,36.130001,28.408497,4085500
2016-01-21,36.450001,38.410000,36.090000,36.930000,29.037525,5066500
2016-01-22,37.340000,37.529999,36.650002,36.970001,29.068974,2340800
2016-01-25,36.880001,37.410000,36.000000,36.130001,28.408497,1625500
2016-01-26,36.279999,38.119999,36.080002,38.110001,29.965351,2690600
2016-01-27,37.889999,38.230000,37.570000,38.070000,29.933886,2659400
2016-01-28,38.360001,38.750000,37.599998,37.770000,29.698011,2125100
2016-01-29,37.970001,39.240002,37.709999,39.080002,30.728033,2020600
2016-02-01,38.509998,39.400002,38.250000,38.930000,30.610094,1306600
2016-02-02,39.029999,39.470001,38.639999,38.970001,30.641544,1790800
2016-02-03,39.020000,39.209999,37.820000,38.860001,30.555056,2077300
2016-02-04,38.470001,39.150002,37.500000,38.980000,30.649408,2850000
2016-02-05,38.820000,38.970001,37.959999,38.369999,30.169779,1529400
2016-02-08,37.919998,38.090000,37.189999,37.970001,29.855265,1126100
2016-02-09,37.709999,38.540001,37.220001,37.880001,29.784502,1267800
2016-02-10,37.900002,38.430000,37.180000,37.419998,29.422802,1450700
2016-02-11,36.900002,37.220001,36.220001,36.570000,28.754457,1261100
2016-02-12,36.770000,37.509998,36.060001,37.430000,29.430670,2019600
2016-02-16,38.090000,39.400002,37.610001,39.040001,30.696585,1506100
2016-02-17,39.380001,40.060001,39.380001,39.820000,31.309889,1071900
2016-02-18,39.740002,39.740002,38.820000,39.450001,31.018963,1080400
2016-02-19,39.360001,39.419998,37.939999,38.500000,30.271986,1624900
2016-02-22,38.799999,39.520000,38.500000,39.320000,30.916752,963100
2016-02-23,39.459999,41.099998,39.360001,40.430000,31.789524,2476000
2016-02-24,40.500000,42.230000,40.000000,42.020000,33.039722,2852300
2016-02-25,42.099998,42.919998,41.279999,42.820000,33.668743,1589100
2016-02-26,42.970001,43.009998,41.939999,42.869999,33.708065,1815800
2016-02-29,42.860001,43.419998,42.450001,42.470001,33.393551,1948200
2016-03-01,42.750000,43.320000,41.799999,43.250000,34.006847,2807700
2016-03-02,43.250000,43.389999,41.840000,43.330002,34.069756,2260700
2016-03-03,42.970001,43.700001,42.549999,43.490002,34.195553,2107000
2016-03-04,43.299999,44.349998,43.099998,43.720001,34.376396,1718500
2016-03-07,43.570000,44.380001,43.480000,44.340000,34.863899,2429700
2016-03-08,42.270000,45.580002,41.849998,44.560001,35.036873,7618400
2016-03-09,44.830002,46.139999,44.570000,45.500000,35.897636,3697900
2016-03-10,45.549999,46.160000,44.900002,45.470001,35.873974,2300500
2016-03-11,45.660000,46.450001,45.660000,46.439999,36.639248,2567700
2016-03-14,46.299999,46.750000,46.070000,46.709999,36.852287,1497800
2016-03-15,46.200001,46.580002,45.169998,45.360001,35.787182,2218500
2016-03-16,45.020000,45.599998,44.759998,45.480000,35.881866,1533000
2016-03-17,45.419998,46.910000,45.340000,46.689999,36.836494,1517200
2016-03-18,47.000000,47.830002,46.790001,47.740002,37.664917,2773400
2016-03-21,47.560001,48.060001,47.310001,47.389999,37.388775,1320500
2016-03-22,47.480000,47.790001,46.860001,47.220001,37.254650,1514500
2016-03-23,46.779999,47.209999,46.230000,46.630001,36.789165,1511900
2016-03-24,46.560001,47.060001,46.470001,46.709999,36.852287,1037000
2016-03-28,46.939999,47.529999,46.860001,47.110001,37.167866,1058100
2016-03-29,47.040001,47.490002,46.810001,47.220001,37.254650,2054700
2016-03-30,47.279999,47.470001,46.470001,46.990002,37.073189,1835800
2016-03-31,47.080002,47.279999,46.349998,46.750000,36.883835,2264700
2016-04-01,46.700001,47.250000,46.250000,47.090000,37.152081,1297700
2016-04-04,46.990002,47.439999,45.590000,46.119999,36.386787,1074900
2016-04-05,45.959999,46.060001,45.029999,45.490002,35.889751,2093300
2016-04-06,45.700001,46.180000,45.330002,45.869999,36.189548,1336800
2016-04-07,45.500000,45.799999,44.529999,44.980000,35.487373,1716100
2016-04-08,45.070000,45.490002,44.220001,44.639999,35.219139,1196300
2016-04-11,44.570000,45.009998,43.910000,43.950001,34.674751,1107700
2016-04-12,43.950001,44.619999,43.380001,44.389999,35.021896,1721800
2016-04-13,44.490002,45.259998,44.310001,44.959999,35.471600,1053100
2016-04-14,44.930000,45.360001,44.570000,45.080002,35.566269,1138300
2016-04-15,44.910000,46.500000,44.869999,46.259998,36.497246,1793200
2016-04-18,46.160000,47.169998,46.080002,46.900002,37.002182,1558100
2016-04-19,46.910000,47.470001,46.570000,47.029999,37.104748,1143000
2016-04-20,47.139999,47.139999,46.110001,46.259998,36.497246,879300
2016-04-21,46.639999,46.910000,45.720001,46.080002,36.355240,884800
2016-04-22,46.110001,46.259998,45.630001,46.119999,36.386787,1193900
2016-04-25,45.990002,45.990002,45.470001,45.720001,36.071217,736400
2016-04-26,45.680000,47.020000,45.580002,46.990002,37.073189,1135700
2016-04-27,46.840000,47.520000,46.660000,47.389999,37.388775,948900
2016-04-28,47.000000,47.290001,46.520000,46.660000,36.812840,724100
2016-04-29,46.869999,46.950001,45.680000,46.340000,36.560352,1180700
2016-05-02,46.900002,48.560001,46.790001,47.889999,37.783249,1783000
2016-05-03,47.810001,47.840000,46.950001,47.180000,37.223091,1275800
2016-05-04,46.970001,47.279999,46.500000,46.590000,36.757603,1253400
2016-05-05,45.500000,45.840000,44.500000,44.869999,35.400597,2456300
2016-05-06,44.759998,45.110001,44.130001,44.860001,35.392704,1244900
