Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,13.800000,13.930000,13.560000,13.580000,5.894526,126400
2016-01-12,13.630000,13.680000,13.200000,13.360000,5.799032,222400
2016-01-13,13.410000,13.460000,13.140000,13.150000,5.707878,166900
2016-01-14,13.140000,13.230000,12.800000,13.100000,5.686175,209800
2016-01-15,12.830000,12.880000,12.630000,12.740000,5.529915,276900
2016-01-19,12.760000,12.790000,12.530000,12.640000,5.486510,157700
2016-01-20,12.330000,12.480000,11.800000,11.950000,5.187009,276000
2016-01-21,11.980000,12.240000,11.740000,12.010000,5.213053,282400
2016-01-22,12.180000,12.700000,12.180000,12.530000,5.438763,179900
2016-01-25,12.540000,12.930000,12.540000,12.560000,5.451785,140000
2016-01-26,12.590000,13.140000,12.590000,13.020000,5.651453,144500
2016-01-27,13.030000,13.230000,12.880000,13.150000,5.707878,199300
2016-01-28,13.300000,13.720000,13.110000,13.710000,5.950953,307200
2016-01-29,13.750000,13.970000,13.550000,13.910000,6.037765,111600
2016-02-01,13.850000,14.070000,13.850000,13.990000,6.072489,126800
2016-02-02,13.570000,13.930000,13.480000,13.780000,5.981337,222500
2016-02-03,13.800000,14.080000,13.730000,14.030000,6.089852,231300
2016-02-04,13.930000,14.280000,13.930000,14.180000,6.154960,144700
2016-02-05,14.090000,14.150000,13.900000,13.990000,6.072489,104300
2016-02-08,13.850000,13.850000,13.290000,13.340000,5.790352,117200
2016-02-09,13.110000,13.220000,13.000000,13.170000,5.716561,137400
2016-02-10,13.100000,13.110000,12.650000,12.950000,5.621068,204600
2016-02-11,12.670000,12.770000,12.460000,12.570000,5.456126,187800
2016-02-12,12.670000,12.690000,12.600000,12.640000,5.486510,76100
2016-02-16,12.690000,12.870000,12.690000,12.800000,5.555959,294000
2016-02-17,12.870000,13.240000,12.870000,13.120000,5.694858,127100
2016-02-18,13.110000,13.550000,13.110000,13.420000,5.825076,155900
2016-02-19,13.340000,13.550000,13.320000,13.470000,5.846779,155800
2016-02-22,13.590000,13.710000,13.590000,13.660000,5.929250,88400
2016-02-23,13.630000,13.700000,13.570000,13.600000,5.903208,89000
2016-02-24,13.500000,13.770000,13.420000,13.770000,5.976996,130700
2016-02-25,13.790000,13.870000,13.690000,13.840000,6.007379,119700
2016-02-26,13.900000,13.900000,13.750000,13.790000,5.985678,128500
2016-02-29,13.850000,13.950000,13.760000,13.820000,5.998700,160000
2016-03-01,13.830000,14.050000,13.830000,14.010000,6.081171,113900
2016-03-02,14.000000,14.090000,13.860000,14.070000,6.107215,72200
2016-03-03,13.990000,14.230000,13.970000,14.130000,6.133259,146200
2016-03-04,14.120000,14.500000,14.120000,14.480000,6.285178,122600
2016-03-07,14.410000,14.670000,14.340000,14.600000,6.337266,95200
2016-03-08,14.640000,14.640000,14.550000,14.550000,6.315563,104000
2016-03-09,14.520000,14.660000,14.520000,14.600000,6.337266,101500
2016-03-10,14.670000,14.700000,14.540000,14.620000,6.345948,158500
2016-03-11,14.320000,14.560000,14.320000,14.520000,6.457125,205500
2016-03-14,14.430000,14.590000,14.430000,14.560000,6.474910,46600
2016-03-15,14.430000,14.530000,14.310000,14.320000,6.368182,90600
2016-03-16,14.300000,14.630000,14.260000,14.630000,6.506041,103600
2016-03-17,14.660000,14.950000,14.660000,14.880000,6.617218,106800
2016-03-18,14.920000,15.000000,14.850000,14.850000,6.603876,64100
2016-03-21,14.740000,14.880000,14.690000,14.690000,6.532722,99000
2016-03-22,14.570000,14.880000,14.380000,14.740000,6.554958,77900
2016-03-23,14.770000,14.770000,14.570000,14.570000,6.479359,107500
2016-03-24,14.580000,14.600000,14.490000,14.570000,6.479359,84900
2016-03-28,14.670000,14.670000,14.500000,14.510000,6.452676,113900
2016-03-29,14.400000,14.700000,14.400000,14.690000,6.532722,75000
2016-03-30,14.700000,15.640000,14.700000,15.550000,6.915169,644800
2016-03-31,15.630000,15.940000,15.450000,15.910000,7.075264,609300
2016-04-01,15.760000,15.920000,15.460000,15.760000,7.008558,329200
2016-04-04,15.660000,15.730000,15.120000,15.480000,6.884042,306900
2016-04-05,15.380000,15.380000,15.050000,15.190000,6.755075,245400
2016-04-06,15.240000,15.280000,15.080000,15.230000,6.772864,224700
2016-04-07,15.110000,15.350000,15.110000,15.330000,6.817334,128600
2016-04-08,15.440000,15.510000,15.250000,15.380000,6.839570,161900
2016-04-11,15.960000,16.049999,15.810000,15.840000,7.044135,643200
2016-04-12,15.990000,16.230000,15.960000,16.230000,7.217569,472900
2016-04-13,16.320000,16.450001,16.219999,16.450001,7.315405,413700
2016-04-14,16.420000,16.440001,16.040001,16.250000,7.226463,247700
2016-04-15,16.379999,16.379999,16.180000,16.299999,7.248698,165000
2016-04-18,16.340000,16.430000,16.129999,16.250000,7.226463,259800
2016-04-19,16.309999,16.379999,16.290001,16.309999,7.253147,174600
2016-04-20,16.400000,16.650000,16.389999,16.610001,7.386559,261700
2016-04-21,16.709999,16.719999,16.430000,16.540001,7.355427,240200
2016-04-22,16.570000,16.670000,16.400000,16.510000,7.342086,169000
2016-04-25,16.520000,16.530001,16.250000,16.280001,7.239805,188100
2016-04-26,16.330000,16.629999,16.330000,16.629999,7.395452,158400
2016-04-27,16.620001,16.790001,16.330000,16.790001,7.466606,242900
2016-04-28,16.750000,16.959999,16.719999,16.860001,7.497734,243100
2016-04-29,16.730000,16.959999,16.530001,16.600000,7.382110,203400
2016-05-02,16.559999,16.740000,16.500000,16.700001,7.426581,275800
2016-05-03,16.549999,16.580000,16.290001,16.410000,7.297617,280900
2016-05-04,16.250000,16.420000,16.170000,16.330000,7.262041,200600
2016-05-05,16.330000,16.459999,16.250000,16.370001,7.279830,163100
2016-05-06,16.250000,16.420000,16.219999,16.340000,7.266488,168100
2016-05-09,16.340000,16.389999,16.139999,16.190001,7.199782,155100
2016-05-10,16.209999,16.400000,16.200001,16.209999,7.208674,183200
2016-05-11,16.370001,16.430000,16.260000,16.320000,7.257592,188000
2016-05-12,16.469999,16.530001,16.240000,16.370001,7.279830,158300
2016-05-13,16.350000,16.490000,16.250000,16.370001,7.279830,86200
2016-05-16,16.350000,16.650000,16.350000,16.389999,7.288722,172400
2016-05-17,16.360001,16.559999,16.280001,16.490000,7.333193,143300
2016-05-18,16.490000,16.570000,16.360001,16.379999,7.284276,129100
2016-05-19,16.309999,16.309999,16.049999,16.049999,7.137521,271500
2016-05-20,16.100000,16.299999,16.100000,16.150000,7.181994,182200
2016-05-23,16.240000,16.299999,16.090000,16.090000,7.155311,199800
2016-05-24,16.240000,16.400000,16.180000,16.320000,7.257592,165900
2016-05-25,16.420000,16.469999,16.309999,16.440001,7.310958,115900
2016-05-26,16.420000,16.620001,16.389999,16.530001,7.350982,207100
2016-05-27,16.520000,16.660000,16.520000,16.660000,7.408793,131100
2016-05-31,16.559999,16.750000,16.410000,16.459999,7.319851,109800
2016-06-01,16.389999,16.650000,16.360001,16.650000,7.404346,158800
2016-06-02,16.650000,16.860001,16.650000,16.820000,7.479948,164800
2016-06-03,16.830000,17.120001,16.809999,17.040001,7.577782,128100
2016-06-06,17.150000,17.250000,17.080000,17.090000,7.600016,171100
2016-06-07,17.150000,17.500000,17.129999,17.500000,7.782344,142100
2016-06-08,17.570000,17.570000,17.400000,17.520000,7.791241,109600
2016-06-09,17.350000,17.520000,17.250000,17.410000,7.742322,168100
2016-06-10,17.190001,17.200001,16.540001,17.059999,7.586675,221000
2016-06-13,16.639999,16.719999,16.530001,16.590000,7.532192,146600
2016-06-14,16.469999,16.570000,16.260000,16.430000,7.459550,222800
2016-06-15,16.430000,16.500000,16.160000,16.200001,7.355125,148000
2016-06-16,16.200001,16.469999,16.160000,16.430000,7.459550,160100
2016-06-17,16.490000,16.730000,16.420000,16.709999,7.586675,136700
2016-06-20,16.830000,16.870001,16.639999,16.740000,7.600295,151900
2016-06-21,16.830000,17.020000,16.750000,16.959999,7.700181,100300
