Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,2.020000,2.070000,1.970000,2.000000,1.361756,145700
2016-01-12,2.020000,2.020000,1.980000,2.000000,1.361756,68100
2016-01-13,1.990000,2.360000,1.990000,2.270000,1.545593,421200
2016-01-14,2.230000,2.240000,1.960000,2.070000,1.409418,296400
2016-01-15,2.260000,2.320000,2.200000,2.270000,1.545593,315800
2016-01-19,2.350000,2.350000,2.210000,2.240000,1.525167,238100
2016-01-20,2.380000,2.460000,2.380000,2.450000,1.668151,320700
2016-01-21,2.480000,2.510000,2.450000,2.510000,1.709004,233500
2016-01-22,2.390000,2.500000,2.330000,2.400000,1.634107,176000
2016-01-25,2.450000,2.630000,2.450000,2.600000,1.770283,219700
2016-01-26,2.780000,3.430000,2.780000,2.960000,2.015399,625900
2016-01-27,2.920000,3.050000,2.840000,3.010000,2.049443,348600
2016-01-28,2.820000,3.030000,2.730000,2.940000,2.001781,242400
2016-01-29,2.810000,2.850000,2.720000,2.800000,1.906459,268600
2016-02-01,2.840000,3.020000,2.830000,3.000000,2.042634,240900
2016-02-02,2.970000,3.200000,2.970000,3.170000,2.158384,493900
2016-02-03,3.150000,3.290000,3.150000,3.270000,2.226471,414400
2016-02-04,3.280000,3.400000,3.190000,3.290000,2.240088,395400
2016-02-05,3.150000,3.330000,3.030000,3.320000,2.260515,288500
2016-02-08,3.310000,4.030000,3.300000,3.890000,2.648616,1034000
2016-02-09,3.720000,3.760000,3.350000,3.370000,2.294559,683800
2016-02-10,3.310000,3.310000,3.090000,3.220000,2.192427,490000
2016-02-11,3.510000,3.520000,3.300000,3.340000,2.274132,578300
2016-02-12,3.310000,3.440000,3.250000,3.410000,2.321795,238500
2016-02-16,3.480000,3.600000,3.120000,3.160000,2.151575,624600
2016-02-17,3.150000,3.420000,3.080000,3.410000,2.321795,350900
2016-02-18,3.270000,3.600000,3.230000,3.490000,2.376264,481700
2016-02-19,3.550000,3.620000,3.450000,3.500000,2.383073,280600
2016-02-22,3.330000,3.350000,3.120000,3.250000,2.212854,448500
2016-02-23,3.370000,3.410000,3.310000,3.330000,2.267324,203900
2016-02-24,3.460000,3.470000,3.210000,3.320000,2.260515,553800
2016-02-25,3.300000,3.420000,3.260000,3.350000,2.280942,299500
2016-02-26,3.250000,3.340000,3.200000,3.270000,2.226471,199100
2016-02-29,3.410000,3.430000,3.330000,3.350000,2.280942,364500
2016-03-01,3.500000,3.530000,3.380000,3.400000,2.314986,303400
2016-03-02,3.490000,3.590000,3.460000,3.500000,2.383073,451200
2016-03-03,3.530000,4.060000,3.520000,3.960000,2.696277,711500
