Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,334.261841,338.718658,320.891357,323.119781,323.119781,44
2016-01-12,323.119781,338.718658,316.434540,316.434540,316.434540,27
2016-01-13,311.977722,345.403900,311.977722,318.662964,318.662964,41
2016-01-14,311.977722,334.261841,311.977722,314.206116,314.206116,38
2016-01-15,334.261841,334.261841,311.977722,311.977722,311.977722,21
2016-01-19,311.977722,334.261841,307.520905,307.520905,307.520905,19
2016-01-20,305.292480,334.261841,296.378845,300.835663,300.835663,15
2016-01-21,311.977722,332.033417,296.378845,300.835663,300.835663,53
2016-01-22,294.150421,311.977722,291.921997,291.921997,291.921997,44
2016-01-25,294.150421,323.119781,291.921997,291.921997,291.921997,41
2016-01-26,300.835663,329.805023,298.607239,316.434540,316.434540,47
2016-01-27,289.693604,323.119781,289.693604,323.119781,323.119781,42
2016-01-28,314.206116,323.119781,289.693604,294.150421,294.150421,27
2016-01-29,294.150421,316.434540,291.921997,303.064056,303.064056,37
2016-02-01,291.921997,316.434540,291.921997,300.835663,300.835663,42
2016-02-02,291.921997,307.520905,291.921997,307.520905,307.520905,6
2016-02-03,309.749298,354.317535,300.835663,340.947083,340.947083,40
2016-02-04,345.403900,367.688019,345.403900,361.002777,361.002777,23
2016-02-05,367.688019,376.601685,356.545959,356.545959,356.545959,10
2016-02-08,356.545959,376.601685,356.545959,361.002777,361.002777,14
2016-02-09,378.830078,378.830078,363.231201,365.459625,365.459625,23
2016-02-10,378.830078,378.830078,311.977722,334.261841,334.261841,9
2016-02-11,343.175476,354.317535,311.977722,323.119781,323.119781,16
2016-02-12,338.718658,352.089142,311.977722,323.119781,323.119781,13
2016-02-16,349.860718,349.860718,311.977722,325.348175,325.348175,12
2016-02-17,356.545959,401.114197,311.977722,311.977722,311.977722,42
2016-02-18,332.033417,356.545959,305.292480,309.749298,309.749298,46
2016-02-19,332.033417,423.398315,311.977722,356.545959,356.545959,75
2016-02-22,356.545959,356.545959,311.977722,334.261841,334.261841,13
2016-02-23,314.206116,334.261841,311.977722,318.662964,318.662964,3
2016-02-24,347.632324,363.231201,247.353760,311.977722,311.977722,66
2016-02-25,305.292480,323.119781,267.409485,311.977722,311.977722,36
2016-02-26,305.292480,334.261841,300.835663,323.119781,323.119781,26
2016-02-29,327.576599,334.261841,314.206116,334.261841,334.261841,7
2016-03-01,334.261841,356.545959,334.261841,356.545959,356.545959,14
2016-03-02,356.545959,358.774384,345.403900,347.632324,347.632324,32
2016-03-03,354.317535,378.830078,352.089142,378.830078,378.830078,16
2016-03-04,378.830078,378.830078,334.261841,378.830078,378.830078,10
2016-03-07,347.632324,383.286896,340.947083,345.403900,345.403900,20
2016-03-08,378.830078,378.830078,352.089142,378.830078,378.830078,4
2016-03-09,378.830078,378.830078,340.947083,347.632324,347.632324,6
2016-03-10,354.317535,396.657379,340.947083,392.200562,392.200562,79
2016-03-11,401.114197,434.540375,401.114197,434.540375,434.540375,62
2016-03-14,434.540375,434.540375,423.398315,434.540375,434.540375,15
2016-03-15,434.540375,434.540375,423.398315,430.083557,430.083557,18
2016-03-16,434.540375,443.454041,434.540375,443.454041,443.454041,11
2016-03-17,443.454041,601.671326,443.454041,557.103088,557.103088,105
2016-03-18,557.103088,557.103088,445.682465,467.966583,467.966583,103
2016-03-21,467.966583,467.966583,438.997223,467.966583,467.966583,72
2016-03-22,557.103088,557.103088,490.250702,494.707520,494.707520,79
2016-03-23,534.818970,534.818970,445.682465,445.682465,445.682465,43
2016-03-24,441.225616,445.682465,423.398315,434.540375,434.540375,32
2016-03-28,434.540375,441.225616,378.830078,401.114197,401.114197,62
2016-03-29,423.398315,445.682465,401.114197,445.682465,445.682465,9
2016-03-30,423.398315,490.250702,401.114197,423.398315,423.398315,35
2016-03-31,423.398315,445.682465,412.256256,412.256256,412.256256,20
2016-04-01,401.114197,445.682465,401.114197,401.114197,401.114197,11
2016-04-04,445.682465,445.682465,421.169922,445.682465,445.682465,6
2016-04-05,410.027863,410.027863,356.545959,378.830078,378.830078,52
2016-04-06,401.114197,423.398315,356.545959,389.972137,389.972137,22
2016-04-07,389.972137,389.972137,367.688019,378.830078,378.830078,24
2016-04-08,378.830078,445.682465,369.916443,401.114197,401.114197,30
2016-04-11,412.256256,445.682465,401.114197,423.398315,423.398315,5
2016-04-12,445.682465,445.682465,401.114197,445.682465,445.682465,1
2016-04-13,410.027863,445.682465,401.114197,416.713104,416.713104,6
2016-04-14,407.799438,445.682465,407.799438,434.540375,434.540375,68
2016-04-15,445.682465,490.250702,423.398315,445.682465,445.682465,29
2016-04-18,445.682465,490.250702,407.799438,445.682465,445.682465,17
2016-04-19,445.682465,490.250702,412.256256,445.682465,445.682465,14
2016-04-20,423.398315,445.682465,416.713104,441.225616,441.225616,24
2016-04-21,423.398315,467.966583,416.713104,418.941498,418.941498,18
2016-04-22,443.454041,443.454041,416.713104,416.713104,416.713104,8
2016-04-25,418.941498,434.540375,414.484680,414.484680,414.484680,22
2016-04-26,414.484680,443.454041,381.058502,401.114197,401.114197,60
2016-04-27,401.114197,443.454041,389.972137,392.200562,392.200562,6
2016-04-28,423.398315,423.398315,421.169922,421.169922,421.169922,9
2016-04-29,423.398315,423.398315,401.114197,418.941498,418.941498,5
2016-05-02,423.398315,512.534790,423.398315,467.966583,467.966583,154
2016-05-03,496.935944,501.392761,456.824524,461.281342,461.281342,86
2016-05-04,461.281342,490.250702,441.225616,441.225616,441.225616,25
2016-05-05,441.225616,505.849579,423.398315,423.398315,423.398315,31
2016-05-06,488.022278,488.022278,423.398315,423.398315,423.398315,12
2016-05-09,450.139282,488.022278,423.398315,445.682465,445.682465,28
2016-05-10,467.966583,490.250702,441.225616,445.682465,445.682465,17
2016-05-11,450.139282,586.072449,450.139282,534.818970,534.818970,353
2016-05-12,588.300842,668.523682,512.534790,534.818970,534.818970,1110
2016-05-13,554.874634,599.442871,450.139282,474.651825,474.651825,201
2016-05-16,445.682465,514.763245,445.682465,488.022278,488.022278,245
2016-05-17,490.250702,608.356567,490.250702,534.818970,534.818970,353
2016-05-18,557.103088,557.103088,467.966583,512.534790,512.534790,150
2016-05-19,490.250702,512.534790,445.682465,467.966583,467.966583,127
2016-05-20,490.250702,490.250702,456.824524,456.824524,456.824524,71
2016-05-23,465.738159,467.966583,456.824524,456.824524,456.824524,64
2016-05-24,467.966583,523.676880,467.966583,512.534790,512.534790,143
2016-05-25,467.966583,510.306396,467.966583,467.966583,467.966583,23
2016-05-26,494.707520,494.707520,456.824524,488.022278,488.022278,135
2016-05-27,485.793884,490.250702,463.509735,472.423401,472.423401,86
2016-05-31,463.509735,490.250702,456.824524,456.824524,456.824524,43
2016-06-01,465.738159,467.966583,456.824524,456.824524,456.824524,82
2016-06-02,456.824524,467.966583,445.682465,447.910858,447.910858,82
2016-06-03,456.824524,467.966583,445.682465,450.139282,450.139282,54
2016-06-06,445.682465,490.250702,445.682465,445.682465,445.682465,20
2016-06-07,445.682465,467.966583,445.682465,445.682465,445.682465,27
2016-06-08,445.682465,467.966583,445.682465,463.509735,463.509735,118
2016-06-09,463.509735,510.306396,445.682465,467.966583,467.966583,105
2016-06-10,450.139282,467.966583,445.682465,445.682465,445.682465,24
2016-06-13,456.824524,467.966583,447.910858,465.738159,465.738159,41
2016-06-14,445.682465,445.682465,425.626740,441.225616,441.225616,90
2016-06-15,434.540375,467.966583,434.540375,467.966583,467.966583,16
2016-06-16,456.824524,467.966583,434.540375,456.824524,456.824524,23
2016-06-17,467.966583,467.966583,423.398315,423.398315,423.398315,64
2016-06-20,423.398315,456.824524,423.398315,445.682465,445.682465,21
