Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,46.529999,46.880001,45.590000,46.259998,39.883083,1605200
2016-01-12,46.520000,50.009998,46.470001,49.900002,43.021301,2852800
2016-01-13,49.450001,49.560001,48.099998,48.439999,41.762562,2510600
2016-01-14,48.470001,48.540001,46.459999,47.660000,41.090084,2258500
2016-01-15,46.779999,47.500000,46.160000,47.459999,40.917656,1814700
2016-01-19,47.860001,48.580002,47.090000,48.230000,41.581501,2075400
2016-01-20,47.580002,47.980000,44.250000,46.630001,40.202072,4610100
2016-01-21,46.860001,49.270000,46.330002,48.689999,41.978096,2309600
2016-01-22,49.000000,50.029999,48.790001,49.889999,43.012680,1795200
2016-01-25,49.900002,50.240002,48.790001,49.080002,42.314346,1508400
2016-01-26,49.070000,50.189999,49.070000,49.779999,42.917835,973800
2016-01-27,49.820000,50.200001,48.599998,49.060001,42.297092,1222000
2016-01-28,49.259998,49.660000,48.720001,49.549999,42.719540,1247800
2016-01-29,49.119999,49.790001,48.410000,49.740002,42.883358,2145500
2016-02-01,49.590000,50.330002,49.119999,49.349998,42.547123,1839900
2016-02-02,49.180000,50.150002,48.939999,49.070000,42.305717,1762000
2016-02-03,49.430000,49.590000,47.750000,48.290001,41.633236,1658800
2016-02-04,48.240002,48.970001,47.740002,48.520000,41.831524,1093200
2016-02-05,48.480000,48.500000,46.330002,46.610001,40.184834,1483800
2016-02-08,46.549999,47.180000,45.480000,46.630001,40.202072,2033700
2016-02-09,46.209999,47.230000,46.049999,46.529999,40.115856,1277500
2016-02-10,46.919998,47.160000,46.209999,46.270000,39.891705,698900
2016-02-11,45.849998,46.529999,44.750000,46.009998,39.667542,1067400
2016-02-12,46.349998,47.630001,46.139999,47.230000,40.719353,960200
2016-02-16,47.630001,48.099998,47.230000,47.880001,41.279766,613600
2016-02-17,48.000000,48.990002,48.000000,48.950001,42.202259,1270500
2016-02-18,48.570000,48.799999,48.200001,48.689999,41.978096,690300
2016-02-19,48.740002,49.299999,48.380001,48.450001,41.771183,1275500
2016-02-22,48.860001,49.500000,48.560001,49.180000,42.400551,1026000
2016-02-23,49.209999,50.320000,48.950001,49.790001,42.926464,1002900
2016-02-24,49.450001,50.509998,49.090000,50.439999,43.486862,731800
2016-02-25,50.709999,51.580002,50.459999,51.119999,44.073128,1147600
2016-02-26,51.389999,51.480000,49.889999,50.360001,43.417889,878800
2016-02-29,50.400002,50.580002,49.759998,49.799999,42.935085,1174800
2016-03-01,50.209999,50.450001,49.700001,50.040001,43.142006,1110900
2016-03-02,49.770000,49.770000,48.959999,49.250000,42.734180,772100
2016-03-03,49.290001,49.930000,48.619999,49.840000,43.246128,838000
2016-03-04,49.779999,50.720001,49.560001,50.279999,43.627914,947100
2016-03-07,49.970001,50.240002,49.180000,50.240002,43.593204,1045600
2016-03-08,49.950001,50.169998,49.610001,49.779999,43.194057,613900
2016-03-09,50.230000,50.410000,48.849998,49.000000,42.517258,1221100
2016-03-10,49.310001,49.619999,47.959999,48.270000,41.883831,790000
2016-03-11,48.590000,48.910000,48.119999,48.830002,42.369755,414400
2016-03-14,47.939999,48.220001,46.459999,47.060001,40.833931,2675100
2016-03-15,47.049999,47.189999,46.340000,46.470001,40.321983,1057400
2016-03-16,46.470001,47.099998,46.049999,46.700001,40.521553,698200
2016-03-17,46.540001,47.070000,46.130001,46.810001,40.617004,742800
2016-03-18,46.599998,47.610001,46.500000,46.860001,40.660378,1329000
2016-03-21,46.880001,47.209999,46.580002,47.160000,40.920696,662000
2016-03-22,47.000000,47.230000,46.070000,46.119999,40.018284,1081400
2016-03-23,46.009998,46.110001,45.389999,45.680000,39.636501,741100
2016-03-24,45.320000,45.369999,44.299999,45.099998,39.133228,974300
2016-03-28,45.439999,46.099998,45.310001,45.880001,39.810040,707700
2016-03-29,45.980000,46.740002,45.980000,46.599998,40.434780,656500
2016-03-30,47.000000,47.290001,46.430000,46.459999,40.313301,718200
2016-03-31,46.459999,46.709999,45.689999,45.950001,39.870777,1067500
2016-04-01,45.910000,46.470001,45.790001,46.360001,40.226532,679200
2016-04-04,46.389999,46.970001,46.110001,46.840000,40.643028,1038400
2016-04-05,46.500000,46.560001,45.759998,46.299999,40.174469,1211300
2016-04-06,46.180000,46.810001,45.770000,45.799999,39.740627,1107500
2016-04-07,45.500000,46.330002,45.419998,45.849998,39.784004,978800
2016-04-08,45.869999,46.060001,45.400002,45.720001,39.671204,537400
2016-04-11,46.340000,47.750000,46.340000,46.360001,40.226532,1751200
2016-04-12,46.439999,47.500000,46.150002,47.419998,41.146294,1322500
2016-04-13,47.700001,47.860001,47.080002,47.680000,41.371895,1662800
2016-04-14,47.720001,47.869999,47.040001,47.099998,40.868633,1456500
2016-04-15,47.200001,47.470001,46.759998,47.240002,40.990116,955800
2016-04-18,47.240002,47.750000,46.709999,47.639999,41.337196,1890600
2016-04-19,44.650002,47.150002,43.299999,44.470001,38.586586,5862000
2016-04-20,44.090000,45.029999,43.900002,44.740002,38.820862,3033100
2016-04-21,44.790001,45.590000,44.639999,44.970001,39.020428,1519600
2016-04-22,44.860001,45.070000,44.330002,44.619999,38.716732,1335700
2016-04-25,44.560001,45.119999,44.389999,44.980000,39.029110,1089600
2016-04-26,44.970001,45.580002,44.750000,45.509998,39.488983,1237000
2016-04-27,45.340000,45.900002,45.099998,45.869999,39.801365,1098000
2016-04-28,45.509998,45.959999,45.180000,45.709999,39.662521,1037300
2016-04-29,45.830002,46.480000,45.830002,46.320000,40.191822,1401100
2016-05-02,46.320000,47.160000,46.320000,47.070000,40.842598,1109600
2016-05-03,46.980000,47.189999,46.680000,46.770000,40.582291,1111800
2016-05-04,46.540001,46.770000,46.150002,46.320000,40.191822,1064700
2016-05-05,46.279999,46.520000,45.939999,46.250000,40.131092,1114700
2016-05-06,46.139999,46.139999,44.900002,45.480000,39.462955,1101300
2016-05-09,45.660000,46.310001,45.560001,46.119999,40.018284,971200
2016-05-10,46.169998,46.279999,45.849998,46.200001,40.087708,952500
2016-05-11,45.930000,46.220001,44.910000,44.990002,39.037785,1094800
2016-05-12,45.189999,45.599998,44.790001,45.029999,39.072495,1613300
2016-05-13,45.070000,45.470001,44.570000,44.950001,39.003082,1029300
2016-05-16,44.830002,45.509998,44.540001,45.340000,39.341476,973600
