Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,6.180000,6.240000,5.840000,5.880000,2.818157,680400
2016-01-12,5.950000,6.090000,5.750000,5.810000,2.784607,1223600
2016-01-13,5.900000,6.220000,5.800000,5.840000,2.798985,1745400
2016-01-14,5.890000,6.170000,5.890000,6.000000,2.875670,2022000
2016-01-15,5.760000,5.950000,5.730000,5.890000,2.822949,997700
2016-01-19,5.760000,5.970000,5.460000,5.550000,2.659995,1414000
2016-01-20,5.380000,5.500000,5.160000,5.400000,2.588103,1654400
2016-01-21,5.360000,5.760000,5.360000,5.710000,2.736679,936300
2016-01-22,5.970000,6.240000,5.970000,6.170000,2.957147,1239700
2016-01-25,6.070000,6.100000,5.580000,5.580000,2.674373,1213200
2016-01-26,5.630000,5.840000,5.590000,5.810000,2.784607,1500600
2016-01-27,5.670000,5.960000,5.630000,5.860000,2.808571,1407800
2016-01-28,6.370000,6.450000,6.070000,6.180000,2.961940,1387600
2016-01-29,6.240000,6.440000,6.090000,6.440000,3.086553,3010700
2016-02-01,6.310000,6.310000,5.940000,6.090000,2.918805,1383300
2016-02-02,5.910000,5.990000,5.810000,5.830000,2.794193,973800
2016-02-03,5.950000,6.200000,5.710000,6.190000,2.966733,1719800
2016-02-04,6.280000,6.540000,6.280000,6.370000,3.053003,1041800
2016-02-05,6.210000,6.380000,6.170000,6.310000,3.024247,858700
2016-02-08,6.170000,6.340000,6.090000,6.280000,3.009869,1000300
2016-02-09,6.140000,6.230000,5.970000,6.010000,2.880463,1977500
2016-02-10,5.970000,6.180000,5.890000,6.030000,2.890049,950700
2016-02-11,5.830000,6.020000,5.780000,5.970000,2.861292,1263000
2016-02-12,6.100000,6.270000,6.040000,6.260000,3.000283,1706800
2016-02-16,6.390000,6.470000,5.980000,5.980000,2.866084,2514100
2016-02-17,6.150000,6.910000,6.150000,6.890000,3.302228,2358800
2016-02-18,6.980000,7.180000,6.950000,6.980000,3.345362,2202600
2016-02-19,6.820000,6.960000,6.680000,6.790000,3.254300,1696600
2016-02-22,7.010000,7.190000,7.000000,7.080000,3.393291,1033400
2016-02-23,6.970000,7.040000,6.850000,6.910000,3.311813,1444000
2016-02-24,6.690000,6.910000,6.650000,6.840000,3.278264,1354600
2016-02-25,6.830000,7.150000,6.830000,7.000000,3.354948,1676900
2016-02-26,7.270000,7.320000,6.960000,6.960000,3.335778,2222500
2016-02-29,6.990000,7.140000,6.850000,6.980000,3.345362,1895700
2016-03-01,7.010000,7.320000,6.980000,7.280000,3.489147,2538100
2016-03-02,7.250000,7.880000,7.210000,7.840000,3.757542,2063300
2016-03-03,7.830000,8.330000,7.770000,8.280000,3.968424,1795000
2016-03-04,8.370000,8.820000,8.320000,8.720000,4.179307,3226000
2016-03-07,8.650000,9.260000,8.400000,9.220000,4.418947,3295100
2016-03-08,9.000000,9.060000,8.230000,8.310000,3.982803,2199100
2016-03-09,8.490000,8.640000,8.370000,8.390000,4.021145,959100
2016-03-10,8.360000,8.420000,8.160000,8.310000,3.982803,2738800
2016-03-11,8.400000,8.710000,8.380000,8.580000,4.112208,1221000
2016-03-14,8.360000,8.550000,8.300000,8.420000,4.035523,1103200
2016-03-15,8.210000,8.320000,7.980000,8.150000,3.906119,1710800
2016-03-16,8.190000,8.530000,8.140000,8.500000,4.073866,1480500
2016-03-17,8.650000,8.970000,8.650000,8.900000,4.265577,1543700
2016-03-18,8.990000,9.140000,8.640000,8.750000,4.193686,2321600
2016-03-21,8.730000,9.010000,8.710000,8.900000,4.265577,1107700
2016-03-22,8.800000,8.900000,8.660000,8.720000,4.179307,1979700
2016-03-23,8.620000,8.670000,8.420000,8.420000,4.035523,2292500
2016-03-24,8.210000,8.370000,8.010000,8.180000,3.920497,1582000
2016-03-28,8.210000,8.600000,8.210000,8.520000,4.083452,1080000
2016-03-29,8.360000,8.360000,8.040000,8.290000,3.973217,1286300
2016-03-30,8.550000,8.740000,8.460000,8.590000,4.117002,1453100
2016-03-31,8.550000,8.750000,8.520000,8.610000,4.126586,1098800
2016-04-01,8.380000,8.560000,8.240000,8.530000,4.088244,1183900
2016-04-04,8.510000,8.610000,8.290000,8.320000,3.987596,1248300
2016-04-05,8.210000,8.290000,8.090000,8.140000,3.901326,1246200
2016-04-06,8.240000,8.290000,8.120000,8.210000,3.934875,3511400
2016-04-07,8.140000,8.170000,7.860000,7.890000,3.781507,1301000
2016-04-08,8.180000,8.360000,8.160000,8.240000,3.949253,1497800
2016-04-11,8.340000,8.550000,8.340000,8.500000,4.073866,1688800
2016-04-12,8.570000,9.170000,8.510000,9.130000,4.375810,2517800
2016-04-13,9.180000,9.510000,9.140000,9.330000,4.471667,1792200
2016-04-14,9.360000,9.390000,9.190000,9.240000,4.428532,1116900
2016-04-15,9.060000,9.090000,8.860000,9.010000,4.318298,1010000
2016-04-18,8.680000,9.290000,8.570000,9.130000,4.375810,1075000
2016-04-19,9.260000,9.660000,9.260000,9.560000,4.581901,1380500
2016-04-20,9.530000,9.960000,9.390000,9.800000,4.696928,1266200
2016-04-21,9.850000,9.940000,9.700000,9.750000,4.672964,1685900
2016-04-22,9.740000,10.100000,9.650000,9.800000,4.696928,1086300
2016-04-25,9.790000,9.800000,9.500000,9.550000,4.577108,1618100
2016-04-26,9.660000,9.880000,9.640000,9.840000,4.716099,736600
2016-04-27,9.950000,10.120000,9.860000,10.040000,4.811955,1728800
2016-04-28,10.000000,10.290000,9.960000,10.040000,4.811955,1073400
2016-04-29,10.200000,10.250000,9.830000,9.940000,4.764027,1875300
2016-05-02,9.910000,10.010000,9.560000,9.640000,4.620243,1123000
2016-05-03,9.410000,9.510000,9.140000,9.270000,4.442911,880500
2016-05-04,9.370000,9.870000,9.350000,9.400000,4.505217,1840200
2016-05-05,9.780000,9.780000,9.320000,9.450000,4.529181,1637800
2016-05-06,9.330000,9.550000,9.270000,9.440000,4.524387,1148700
2016-05-09,9.370000,9.370000,9.010000,9.090000,4.356640,1006600
2016-05-10,9.010000,9.430000,9.010000,9.410000,4.510009,1123900
2016-05-11,9.400000,9.700000,9.240000,9.530000,4.567523,1168200
2016-05-12,9.710000,9.850000,9.440000,9.600000,4.601072,1282400
2016-05-13,9.510000,9.550000,9.360000,9.390000,4.500423,995900
2016-05-16,9.590000,9.700000,9.480000,9.540000,4.572315,1254400
2016-05-17,9.510000,9.740000,9.470000,9.710000,4.653793,967800
2016-05-18,9.700000,9.730000,9.270000,9.340000,4.476460,1184000
2016-05-19,9.280000,9.290000,8.980000,9.240000,4.428532,1918900
2016-05-20,9.300000,9.430000,9.170000,9.190000,4.404568,1020400
2016-05-23,9.070000,9.170000,8.980000,9.060000,4.342262,621500
2016-05-24,9.150000,9.160000,8.960000,9.050000,4.337469,1179900
2016-05-25,9.150000,9.350000,9.090000,9.280000,4.447703,1705900
2016-05-26,9.370000,9.400000,9.150000,9.190000,4.404568,1062000
2016-05-27,9.120000,9.180000,9.020000,9.110000,4.366225,682200
2016-05-31,9.120000,9.150000,8.750000,8.760000,4.198479,1355400
2016-06-01,8.630000,8.770000,8.430000,8.760000,4.198479,1168500
2016-06-02,8.640000,8.990000,8.500000,8.980000,4.303920,1232700
2016-06-03,9.040000,9.190000,8.980000,9.150000,4.385397,808800
2016-06-06,9.260000,9.490000,9.250000,9.480000,4.543559,741300
2016-06-07,9.570000,9.690000,9.370000,9.670000,4.634621,1434800
2016-06-08,9.810000,10.050000,9.780000,9.920000,4.754441,1558900
2016-06-09,9.780000,10.010000,9.720000,10.000000,4.792783,1660100
2016-06-10,9.800000,9.800000,9.490000,9.510000,4.557937,1129200
2016-06-13,9.380000,9.480000,9.250000,9.350000,4.481253,917500
2016-06-14,9.310000,9.430000,9.200000,9.260000,4.438118,759900
2016-06-15,9.190000,9.480000,9.170000,9.340000,4.476460,805700
2016-06-16,9.220000,9.370000,9.100000,9.300000,4.457288,1133300
2016-06-17,9.470000,9.530000,9.390000,9.510000,4.557937,1651200
2016-06-20,9.700000,9.720000,9.510000,9.560000,4.581901,921400
2016-06-21,9.510000,9.600000,9.470000,9.580000,4.591487,1188700
2016-06-22,9.630000,9.730000,9.600000,9.620000,4.610657,1128900
2016-06-23,9.790000,10.010000,9.740000,9.800000,4.696928,667700
2016-06-24,9.370000,9.460000,9.250000,9.370000,4.490838,1448900
2016-06-27,9.220000,9.310000,8.920000,8.980000,4.303920,1170200
2016-06-28,9.240000,9.350000,9.170000,9.320000,4.466874,679900
2016-06-29,9.460000,9.660000,9.330000,9.600000,4.601072,660600
2016-06-30,9.580000,9.580000,9.440000,9.560000,4.581901,833900
2016-07-01,9.590000,9.730000,9.530000,9.630000,4.615450,1056400
2016-07-05,9.390000,9.490000,9.160000,9.190000,4.404568,1020500
2016-07-06,9.110000,9.220000,8.990000,9.180000,4.399776,882500
2016-07-07,9.420000,9.510000,9.000000,9.050000,4.337469,1391400
2016-07-08,9.230000,9.320000,9.120000,9.240000,4.428532,808300
2016-07-11,9.310000,9.390000,9.230000,9.300000,4.457288,748100
2016-07-12,9.370000,9.600000,9.370000,9.540000,4.572315,889700
2016-07-13,9.520000,9.610000,9.400000,9.480000,4.543559,1326800
2016-07-14,9.600000,9.670000,9.520000,9.670000,4.634621,871700
2016-07-15,9.710000,9.710000,9.480000,9.570000,4.586693,904500
2016-07-18,9.490000,9.670000,9.450000,9.670000,4.634621,425400
2016-07-19,9.650000,9.650000,9.450000,9.470000,4.538766,566500
