Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,3.780000,3.800000,3.510000,3.570000,3.570000,200800
2016-01-12,3.550000,3.880000,2.890000,3.340000,3.340000,900100
2016-01-13,3.310000,3.340000,3.120000,3.230000,3.230000,165500
2016-01-14,3.210000,3.380000,3.150000,3.310000,3.310000,118900
2016-01-15,3.310000,3.370000,3.200000,3.210000,3.210000,99200
2016-01-19,3.340000,3.420000,3.210000,3.400000,3.400000,204000
2016-01-20,3.360000,3.380000,3.250000,3.380000,3.380000,129600
2016-01-21,3.380000,3.500000,3.300000,3.490000,3.490000,87000
2016-01-22,3.650000,3.910000,3.640000,3.910000,3.910000,196000
2016-01-25,4.360000,4.360000,3.730000,3.790000,3.790000,122400
2016-01-26,3.830000,3.980000,3.750000,3.840000,3.840000,46400
2016-01-27,3.840000,3.880000,3.600000,3.660000,3.660000,89800
2016-01-28,3.700000,3.700000,3.490000,3.520000,3.520000,46800
2016-01-29,3.550000,3.690000,3.500000,3.540000,3.540000,96600
2016-02-01,3.500000,3.580000,3.450000,3.560000,3.560000,66600
2016-02-02,3.520000,3.520000,3.450000,3.500000,3.500000,19500
2016-02-03,3.490000,3.790000,3.410000,3.600000,3.600000,97500
2016-02-04,3.570000,3.640000,3.450000,3.550000,3.550000,56100
2016-02-05,3.540000,3.750000,3.540000,3.570000,3.570000,67700
2016-02-08,3.520000,3.550000,3.400000,3.440000,3.440000,119800
2016-02-09,3.520000,3.520000,3.410000,3.510000,3.510000,45700
2016-02-10,3.570000,3.690000,3.500000,3.520000,3.520000,8500
2016-02-11,3.490000,3.510000,3.370000,3.490000,3.490000,51500
2016-02-12,3.510000,3.520000,3.340000,3.450000,3.450000,31600
2016-02-16,3.420000,3.620000,3.420000,3.580000,3.580000,49200
2016-02-17,3.680000,3.910000,3.590000,3.890000,3.890000,73300
2016-02-18,3.930000,3.940000,3.640000,3.710000,3.710000,58600
2016-02-19,3.680000,3.800000,3.680000,3.710000,3.710000,31500
2016-02-22,3.780000,3.890000,3.730000,3.750000,3.750000,14500
2016-02-23,3.770000,3.930000,3.710000,3.890000,3.890000,36900
2016-02-24,3.700000,3.880000,3.650000,3.830000,3.830000,38000
2016-02-25,3.810000,4.420000,3.810000,4.300000,4.300000,194200
2016-02-26,4.410000,4.600000,4.200000,4.210000,4.210000,55500
2016-02-29,4.190000,4.190000,4.030000,4.060000,4.060000,52600
2016-03-01,4.040000,4.260000,3.860000,4.150000,4.150000,48500
2016-03-02,4.380000,4.390000,4.150000,4.220000,4.220000,25400
2016-03-03,4.220000,4.370000,4.200000,4.220000,4.220000,70800
2016-03-04,4.420000,4.420000,4.160000,4.160000,4.160000,41900
2016-03-07,4.150000,4.440000,4.150000,4.360000,4.360000,63000
2016-03-08,4.400000,4.400000,4.300000,4.300000,4.300000,48900
2016-03-09,4.360000,4.480000,4.350000,4.380000,4.380000,38400
2016-03-10,4.350000,4.430000,4.150000,4.160000,4.160000,66800
2016-03-11,4.210000,4.430000,4.180000,4.290000,4.290000,52600
2016-03-14,4.260000,4.450000,4.150000,4.270000,4.270000,99900
2016-03-15,4.250000,4.420000,4.210000,4.240000,4.240000,56200
2016-03-16,4.210000,4.420000,3.920000,4.420000,4.420000,86200
2016-03-17,4.410000,4.430000,4.120000,4.270000,4.270000,43300
2016-03-18,4.270000,4.390000,4.270000,4.310000,4.310000,47700
2016-03-21,4.350000,4.480000,4.350000,4.420000,4.420000,78200
2016-03-22,4.440000,4.740000,4.350000,4.380000,4.380000,90700
2016-03-23,4.610000,4.610000,4.250000,4.280000,4.280000,53900
2016-03-24,4.290000,4.470000,4.210000,4.250000,4.250000,38900
2016-03-28,4.350000,4.350000,4.080000,4.130000,4.130000,25700
2016-03-29,4.150000,4.400000,4.150000,4.220000,4.220000,87300
2016-03-30,4.330000,4.380000,4.020000,4.020000,4.020000,124100
2016-03-31,4.100000,4.150000,3.920000,4.020000,4.020000,72800
2016-04-01,4.150000,4.240000,3.980000,4.220000,4.220000,147100
2016-04-04,4.800000,4.800000,4.100000,4.400000,4.400000,348900
2016-04-05,4.180000,4.230000,4.050000,4.060000,4.060000,104200
2016-04-06,4.300000,4.340000,4.130000,4.280000,4.280000,128000
2016-04-07,4.000000,4.000000,3.730000,3.900000,3.900000,395500
2016-04-08,4.000000,4.000000,3.800000,3.880000,3.880000,99200
2016-04-11,3.850000,3.850000,3.750000,3.760000,3.760000,86400
2016-04-12,3.770000,3.800000,3.570000,3.660000,3.660000,191900
2016-04-13,3.670000,3.750000,3.650000,3.680000,3.680000,136800
2016-04-14,3.700000,3.700000,3.600000,3.640000,3.640000,52300
2016-04-15,3.600000,3.700000,3.520000,3.630000,3.630000,137500
2016-04-18,3.600000,3.670000,3.530000,3.630000,3.630000,91600
2016-04-19,3.630000,3.740000,3.320000,3.490000,3.490000,223100
2016-04-20,3.480000,3.520000,3.400000,3.410000,3.410000,129200
2016-04-21,3.410000,3.480000,3.360000,3.460000,3.460000,36800
2016-04-22,3.480000,3.550000,3.480000,3.510000,3.510000,115100
2016-04-25,3.540000,3.600000,3.410000,3.460000,3.460000,146000
2016-04-26,3.500000,3.540000,3.460000,3.480000,3.480000,85700
2016-04-27,3.490000,3.530000,3.420000,3.470000,3.470000,92100
2016-04-28,3.430000,3.570000,3.430000,3.450000,3.450000,172700
2016-04-29,3.450000,3.510000,3.410000,3.420000,3.420000,191300
2016-05-02,3.490000,3.490000,3.400000,3.480000,3.480000,51100
2016-05-03,3.490000,3.520000,3.420000,3.470000,3.470000,77500
2016-05-04,3.420000,3.480000,3.400000,3.480000,3.480000,110700
2016-05-05,3.460000,3.460000,3.320000,3.410000,3.410000,91400
2016-05-06,3.390000,3.460000,3.310000,3.370000,3.370000,114400
2016-05-09,3.400000,3.500000,3.400000,3.500000,3.500000,62500
2016-05-10,3.420000,3.540000,3.400000,3.520000,3.520000,54900
2016-05-11,3.500000,3.570000,3.430000,3.430000,3.430000,56900
2016-05-12,3.480000,3.480000,3.350000,3.410000,3.410000,65000
2016-05-13,3.400000,3.440000,3.350000,3.430000,3.430000,54400
2016-05-16,3.390000,3.500000,3.250000,3.350000,3.350000,235100
2016-05-17,3.380000,3.380000,3.260000,3.300000,3.300000,64900
2016-05-18,3.560000,3.560000,3.370000,3.400000,3.400000,351400
2016-05-19,3.460000,3.460000,3.210000,3.330000,3.330000,104800
2016-05-20,3.370000,3.430000,3.280000,3.280000,3.280000,91400
2016-05-23,3.310000,3.330000,3.220000,3.280000,3.280000,64700
2016-05-24,3.240000,3.370000,3.240000,3.330000,3.330000,54500
2016-05-25,3.360000,3.410000,3.320000,3.380000,3.380000,83400
2016-05-26,3.350000,3.480000,3.310000,3.450000,3.450000,96700
2016-05-27,3.360000,3.510000,3.350000,3.500000,3.500000,77100
2016-05-31,3.410000,3.550000,3.410000,3.490000,3.490000,56700
2016-06-01,3.450000,3.500000,3.340000,3.400000,3.400000,73200
2016-06-02,3.360000,3.440000,3.310000,3.350000,3.350000,42700
2016-06-03,3.360000,3.420000,3.330000,3.370000,3.370000,32400
2016-06-06,3.350000,3.490000,3.350000,3.390000,3.390000,73200
2016-06-07,3.370000,3.480000,3.370000,3.410000,3.410000,31800
2016-06-08,3.440000,3.530000,3.440000,3.490000,3.490000,139600
2016-06-09,3.500000,3.500000,3.350000,3.410000,3.410000,82000
2016-06-10,3.440000,3.470000,3.250000,3.290000,3.290000,83200
2016-06-13,3.340000,3.350000,3.200000,3.230000,3.230000,75000
2016-06-14,3.340000,3.340000,3.110000,3.170000,3.170000,45900
2016-06-15,3.280000,3.320000,3.130000,3.190000,3.190000,48700
2016-06-16,3.150000,3.270000,3.040000,3.270000,3.270000,44300
2016-06-17,3.220000,3.240000,3.060000,3.130000,3.130000,107900
2016-06-20,3.180000,3.280000,3.060000,3.210000,3.210000,43000
2016-06-21,3.210000,3.260000,3.090000,3.140000,3.140000,37900
2016-06-22,3.100000,3.200000,3.100000,3.140000,3.140000,24700
2016-06-23,3.170000,3.200000,3.070000,3.110000,3.110000,37300
2016-06-24,3.010000,3.100000,3.000000,3.050000,3.050000,77200
2016-06-27,3.090000,3.210000,3.080000,3.180000,3.180000,45000
2016-06-28,3.210000,3.300000,3.110000,3.260000,3.260000,24900
2016-06-29,3.290000,3.290000,3.170000,3.250000,3.250000,21800
2016-06-30,3.280000,3.350000,3.190000,3.310000,3.310000,59600
2016-07-01,3.310000,3.420000,3.270000,3.290000,3.290000,51500
2016-07-05,3.320000,3.360000,3.120000,3.230000,3.230000,49400
2016-07-06,3.360000,3.390000,3.150000,3.320000,3.320000,20400
2016-07-07,3.310000,3.310000,3.200000,3.250000,3.250000,20900
2016-07-08,3.240000,3.260000,3.190000,3.230000,3.230000,32300
2016-07-11,3.220000,3.280000,3.190000,3.230000,3.230000,20300
2016-07-12,3.220000,3.300000,3.220000,3.240000,3.240000,24600
2016-07-13,3.230000,3.280000,3.230000,3.230000,3.230000,17900
2016-07-14,3.290000,3.310000,3.160000,3.160000,3.160000,9700
2016-07-15,3.270000,3.300000,3.160000,3.280000,3.280000,17800
2016-07-18,3.270000,3.310000,3.210000,3.250000,3.250000,21700
2016-07-19,3.160000,3.250000,3.160000,3.200000,3.200000,7600
2016-07-20,3.190000,3.240000,3.150000,3.160000,3.160000,18900
2016-07-21,3.170000,3.190000,3.160000,3.170000,3.170000,16600
2016-07-22,3.150000,3.250000,3.120000,3.250000,3.250000,19300
2016-07-25,3.130000,3.250000,3.130000,3.220000,3.220000,12200
2016-07-26,3.190000,3.210000,3.150000,3.170000,3.170000,48900
2016-07-27,3.220000,3.220000,3.150000,3.160000,3.160000,37900
2016-07-28,3.210000,3.210000,3.000000,3.120000,3.120000,51900
2016-07-29,3.150000,3.160000,3.000000,3.110000,3.110000,23500
2016-08-01,3.130000,3.160000,3.000000,3.110000,3.110000,52400
2016-08-02,3.070000,3.130000,3.000000,3.080000,3.080000,55200
2016-08-03,3.090000,3.140000,3.000000,3.010000,3.010000,25900
2016-08-04,3.020000,3.100000,3.000000,3.070000,3.070000,37000
2016-08-05,3.100000,3.180000,3.030000,3.120000,3.120000,55200
2016-08-08,3.100000,3.140000,3.000000,3.050000,3.050000,40000
2016-08-09,3.020000,3.110000,3.020000,3.050000,3.050000,18900
2016-08-10,3.020000,3.150000,3.020000,3.050000,3.050000,21700
2016-08-11,3.140000,3.160000,2.950000,3.040000,3.040000,58500
2016-08-12,3.080000,3.100000,3.040000,3.040000,3.040000,12400
2016-08-15,3.090000,3.100000,3.000000,3.000000,3.000000,44500
2016-08-16,3.000000,3.080000,2.990000,3.000000,3.000000,61900
2016-08-17,3.010000,3.020000,2.980000,2.990000,2.990000,16700
2016-08-18,3.030000,3.080000,3.000000,3.030000,3.030000,41100
2016-08-19,3.030000,3.080000,2.970000,3.000000,3.000000,39700
2016-08-22,3.100000,3.150000,3.000000,3.090000,3.090000,59700
2016-08-23,3.050000,3.140000,3.020000,3.100000,3.100000,52400
2016-08-24,3.070000,3.110000,3.020000,3.090000,3.090000,124400
2016-08-25,3.260000,3.360000,2.430000,2.960000,2.960000,1329100
2016-08-26,2.970000,2.990000,2.920000,2.940000,2.940000,67800
2016-08-29,2.980000,2.980000,2.870000,2.910000,2.910000,87300
2016-08-30,2.950000,2.980000,2.900000,2.940000,2.940000,69900
2016-08-31,2.900000,2.950000,2.870000,2.920000,2.920000,69300
2016-09-01,2.900000,2.920000,2.830000,2.920000,2.920000,16000
2016-09-02,2.900000,2.930000,2.870000,2.890000,2.890000,79600
2016-09-06,2.900000,3.000000,2.900000,2.960000,2.960000,128700
2016-09-07,2.930000,3.000000,2.930000,2.990000,2.990000,27500
2016-09-08,2.940000,3.000000,2.920000,2.920000,2.920000,33700
2016-09-09,2.930000,2.980000,2.880000,2.950000,2.950000,72300
2016-09-12,2.920000,2.940000,2.870000,2.900000,2.900000,27100
2016-09-13,2.900000,2.900000,2.840000,2.890000,2.890000,34400
2016-09-14,2.890000,3.000000,2.890000,2.900000,2.900000,138900
2016-09-15,2.990000,3.040000,2.820000,2.910000,2.910000,73800
2016-09-16,3.000000,3.010000,2.860000,2.860000,2.860000,47900
2016-09-19,2.920000,2.960000,2.900000,2.930000,2.930000,5400
2016-09-20,2.930000,2.970000,2.890000,2.910000,2.910000,21500
2016-09-21,2.900000,2.930000,2.860000,2.910000,2.910000,41800
2016-09-22,2.870000,2.960000,2.860000,2.940000,2.940000,25800
2016-09-23,2.980000,2.980000,2.900000,2.950000,2.950000,15800
2016-09-26,2.900000,2.940000,2.850000,2.850000,2.850000,55200
2016-09-27,2.830000,2.940000,2.730000,2.920000,2.920000,53800
2016-09-28,2.950000,2.960000,2.860000,2.940000,2.940000,21800
2016-09-29,2.920000,2.970000,2.870000,2.950000,2.950000,24900
2016-09-30,2.940000,2.940000,2.870000,2.900000,2.900000,16700
2016-10-03,2.870000,2.910000,2.860000,2.910000,2.910000,13200
2016-10-04,2.880000,2.930000,2.860000,2.880000,2.880000,15500
2016-10-05,2.860000,2.900000,2.810000,2.840000,2.840000,51100
2016-10-06,2.860000,2.860000,2.710000,2.750000,2.750000,57700
2016-10-07,2.740000,2.830000,2.740000,2.760000,2.760000,28400
2016-10-10,2.770000,2.790000,2.660000,2.720000,2.720000,24700
2016-10-11,2.900000,2.900000,2.790000,2.850000,2.850000,112400
2016-10-12,2.900000,2.900000,2.790000,2.820000,2.820000,9700
2016-10-13,2.790000,2.840000,2.770000,2.800000,2.800000,17700
2016-10-14,2.900000,2.900000,2.730000,2.810000,2.810000,43700
2016-10-17,2.790000,2.820000,2.780000,2.800000,2.800000,16500
2016-10-18,2.790000,2.790000,2.750000,2.760000,2.760000,23000
2016-10-19,2.760000,2.820000,2.760000,2.770000,2.770000,22300
2016-10-20,2.780000,2.900000,2.770000,2.820000,2.820000,104400
2016-10-21,2.800000,2.850000,2.720000,2.720000,2.720000,33500
2016-10-24,2.750000,2.800000,2.730000,2.750000,2.750000,14500
2016-10-25,2.740000,2.800000,2.740000,2.750000,2.750000,19500
2016-10-26,2.750000,2.800000,2.750000,2.780000,2.780000,24900
2016-10-27,2.770000,2.770000,2.750000,2.750000,2.750000,11500
2016-10-28,2.750000,2.800000,2.660000,2.710000,2.710000,52500
2016-10-31,2.730000,2.730000,2.600000,2.620000,2.620000,56000
2016-11-01,2.640000,2.700000,2.620000,2.630000,2.630000,45000
2016-11-02,2.620000,2.830000,2.620000,2.700000,2.700000,47300
2016-11-03,2.710000,2.780000,2.710000,2.770000,2.770000,38600
2016-11-04,2.750000,2.820000,2.690000,2.700000,2.700000,99000
2016-11-07,2.710000,2.710000,2.590000,2.620000,2.620000,43500
2016-11-08,2.630000,2.710000,2.610000,2.680000,2.680000,63000
2016-11-09,2.660000,2.780000,2.660000,2.730000,2.730000,41600
2016-11-10,2.720000,3.150000,2.700000,3.100000,3.100000,201900
2016-11-11,3.150000,3.250000,3.100000,3.180000,3.180000,120200
2016-11-14,3.180000,3.200000,3.000000,3.130000,3.130000,49500
2016-11-15,3.130000,3.200000,3.050000,3.190000,3.190000,77900
2016-11-16,3.190000,3.520000,3.140000,3.340000,3.340000,781000
2016-11-17,3.600000,3.600000,3.300000,3.350000,3.350000,284000
2016-11-18,3.380000,3.410000,3.100000,3.110000,3.110000,115400
2016-11-21,3.110000,3.130000,2.900000,2.980000,2.980000,122600
2016-11-22,2.960000,3.060000,2.960000,3.010000,3.010000,66000
2016-11-23,3.010000,3.010000,2.990000,2.990000,2.990000,23000
2016-11-25,3.010000,3.080000,2.990000,3.040000,3.040000,17200
2016-11-28,3.040000,3.160000,3.010000,3.010000,3.010000,42400
2016-11-29,3.020000,3.120000,2.990000,3.080000,3.080000,51600
2016-11-30,3.060000,3.100000,3.020000,3.030000,3.030000,11700
2016-12-01,3.020000,3.100000,3.010000,3.010000,3.010000,34600
