Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,11.770000,11.810000,11.440000,11.570000,3.253311,88400
2016-01-12,11.560000,11.580000,11.400000,11.430000,3.213947,86300
2016-01-13,11.280000,11.350000,10.760000,10.820000,3.091104,91800
2016-01-14,10.790000,11.200000,10.760000,11.010000,3.145384,97200
2016-01-15,10.930000,10.970000,10.500000,10.540000,3.011113,120200
2016-01-19,10.590000,10.650000,10.250000,10.330000,2.951118,111100
2016-01-20,10.240000,10.240000,9.950000,9.970000,2.848272,96800
2016-01-21,9.970000,10.280000,9.970000,10.260000,2.931121,131500
2016-01-22,10.360000,10.590000,10.360000,10.450000,2.985400,55300
2016-01-25,10.450000,10.620000,10.400000,10.400000,2.971116,56700
2016-01-26,10.400000,10.600000,10.390000,10.510000,3.002541,48500
2016-01-27,10.500000,10.600000,10.480000,10.530000,3.008252,44300
2016-01-28,10.670000,10.870000,10.590000,10.870000,3.105386,70400
2016-01-29,10.860000,11.250000,10.840000,10.950000,3.128244,97700
2016-02-01,10.980000,11.020000,10.820000,10.990000,3.139671,29000
2016-02-02,10.730000,10.960000,10.700000,10.770000,3.076819,61900
2016-02-03,10.870000,10.940000,10.700000,10.890000,3.111104,45500
2016-02-04,10.950000,11.230000,10.950000,11.140000,3.182522,61500
2016-02-05,11.130000,11.130000,11.020000,11.120000,3.176808,40100
2016-02-08,11.010000,11.190000,10.850000,10.900000,3.113958,70700
2016-02-09,10.820000,10.870000,10.610000,10.710000,3.059678,58700
2016-02-10,10.580000,10.690000,10.390000,10.390000,3.019000,37700
2016-02-11,10.310000,10.380000,10.140000,10.140000,2.946356,74400
2016-02-12,10.160000,10.300000,10.140000,10.270000,2.984131,28100
2016-02-16,10.300000,10.360000,10.200000,10.290000,2.989942,71300
2016-02-17,10.340000,10.800000,10.340000,10.660000,3.097451,46200
2016-02-18,10.670000,10.820000,10.620000,10.720000,3.114886,24700
2016-02-19,10.620000,10.750000,10.620000,10.710000,3.111981,24400
2016-02-22,10.800000,11.080000,10.800000,10.940000,3.178811,46200
2016-02-23,10.910000,10.990000,10.870000,10.950000,3.181717,39800
2016-02-24,10.820000,11.120000,10.720000,11.100000,3.225301,42900
2016-02-25,11.120000,11.180000,11.050000,11.180000,3.248548,44400
2016-02-26,11.160000,11.620000,11.160000,11.590000,3.367680,143000
2016-02-29,11.570000,11.750000,11.520000,11.700000,3.399643,65300
