Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,7.710000,7.710000,7.540000,7.550000,5.151482,12000
2016-01-12,7.570000,7.590000,7.550000,7.560000,5.158306,2100
2016-01-13,7.550000,7.580000,7.500000,7.500000,5.117365,21900
2016-01-14,7.500000,7.560000,7.500000,7.540000,5.144658,3800
2016-01-15,7.410000,7.410000,7.260000,7.310000,4.987726,18300
2016-01-19,7.390000,7.390000,7.290000,7.330000,5.001371,6000
2016-01-20,7.100000,7.250000,6.950000,7.110000,4.851263,15500
2016-01-21,7.080000,7.220000,7.050000,7.200000,4.912672,12200
2016-01-22,7.390000,7.410000,7.300000,7.350000,5.015019,3100
2016-01-25,7.340000,7.430000,7.340000,7.370000,5.028665,9000
2016-01-26,7.280000,7.470000,7.280000,7.470000,5.096896,4300
2016-01-27,7.440000,7.450000,7.440000,7.440000,5.076427,1100
2016-01-28,7.550000,7.570000,7.470000,7.530000,5.137836,11300
2016-01-29,7.600000,7.710000,7.540000,7.590000,5.178774,5200
2016-02-01,7.550000,7.650000,7.410000,7.650000,5.219714,11400
2016-02-02,7.510000,7.630000,7.510000,7.600000,5.185597,6000
2016-02-03,7.600000,7.690000,7.500000,7.600000,5.185597,16900
2016-02-04,7.620000,7.620000,7.610000,7.610000,5.192420,3000
2016-02-05,7.520000,7.520000,7.420000,7.420000,5.062780,2800
2016-02-08,7.300000,7.310000,7.270000,7.310000,4.987726,3600
2016-02-09,7.240000,7.330000,7.180000,7.260000,4.953611,7800
2016-02-10,7.280000,7.320000,7.280000,7.310000,4.987726,3300
2016-02-11,7.110000,7.210000,7.000000,7.040000,4.803499,25600
2016-02-12,7.010000,7.190000,7.010000,7.190000,4.905849,8100
2016-02-16,7.260000,7.260000,7.200000,7.250000,4.946787,5100
2016-02-17,7.410000,7.450000,7.390000,7.400000,5.049134,3000
2016-02-18,7.400000,7.460000,7.340000,7.450000,5.083250,7400
2016-02-19,7.380000,7.470000,7.330000,7.470000,5.096896,19200
2016-02-22,7.510000,7.510000,7.420000,7.440000,5.076427,2700
2016-02-23,7.370000,7.470000,7.360000,7.450000,5.083250,44500
2016-02-24,7.300000,7.350000,7.150000,7.320000,4.994550,6400
2016-02-25,7.430000,7.450000,7.210000,7.430000,5.069604,10700
2016-02-26,7.460000,7.460000,7.420000,7.430000,5.069604,4700
2016-02-29,7.380000,7.520000,7.380000,7.420000,5.062780,9200
2016-03-01,7.480000,7.620000,7.480000,7.590000,5.178774,12500
2016-03-02,7.370000,7.580000,7.360000,7.580000,5.171951,7100
2016-03-03,7.570000,7.590000,7.570000,7.580000,5.171951,3900
2016-03-04,7.460000,7.650000,7.460000,7.650000,5.219714,21200
2016-03-07,7.560000,7.630000,7.560000,7.630000,5.206066,27300
2016-03-08,7.440000,7.620000,7.440000,7.600000,5.185597,22600
2016-03-09,7.580000,7.630000,7.580000,7.620000,5.199244,24700
2016-03-10,7.620000,7.720000,7.590000,7.620000,5.199244,25400
2016-03-11,7.590000,7.800000,7.590000,7.790000,5.315237,1000
2016-03-14,7.740000,7.830000,7.740000,7.830000,5.342530,6400
2016-03-15,7.760000,7.800000,7.760000,7.780000,5.308415,2000
2016-03-16,7.740000,7.820000,7.730000,7.810000,5.328884,11300
2016-03-17,7.720000,7.840000,7.600000,7.800000,5.322060,18700
2016-03-18,7.850000,7.850000,7.800000,7.830000,5.342530,4400
2016-03-21,7.540000,7.840000,7.540000,7.840000,5.349353,4500
2016-03-22,7.740000,7.800000,7.740000,7.790000,5.315237,4900
2016-03-23,7.790000,7.800000,7.730000,7.730000,5.274298,6300
2016-03-24,7.710000,7.720000,7.640000,7.650000,5.219714,3200
2016-03-28,7.700000,7.730000,7.650000,7.720000,5.267476,7300
2016-03-29,7.740000,7.780000,7.730000,7.730000,5.274298,1100
2016-03-30,7.800000,7.950000,7.770000,7.860000,5.362999,11100
2016-03-31,7.880000,7.910000,7.860000,7.860000,5.362999,15600
2016-04-01,7.740000,7.860000,7.720000,7.860000,5.362999,5300
2016-04-04,7.830000,7.940000,7.830000,7.890000,5.383468,3500
2016-04-05,7.730000,7.790000,7.730000,7.730000,5.274298,9700
2016-04-06,7.780000,7.800000,7.750000,7.790000,5.315237,8100
2016-04-07,7.730000,7.750000,7.730000,7.730000,5.274298,6100
2016-04-08,7.670000,7.890000,7.670000,7.820000,5.335706,9700
2016-04-11,7.910000,7.930000,7.820000,7.850000,5.356176,5900
2016-04-12,7.940000,7.980000,7.880000,7.920000,5.403938,15400
2016-04-13,8.020000,8.050000,7.960000,8.030000,5.478993,5600
2016-04-14,8.020000,8.040000,8.020000,8.030000,5.478993,2500
2016-04-15,7.960000,7.990000,7.910000,7.960000,5.431231,7400
2016-04-18,7.970000,7.980000,7.960000,7.970000,5.438054,5700
2016-04-19,8.030000,8.140000,8.030000,8.100000,5.526755,7900
2016-04-20,8.110000,8.180000,8.100000,8.110000,5.533578,6200
2016-04-21,8.110000,8.110000,8.100000,8.100000,5.526755,2200
2016-04-22,8.060000,8.060000,8.050000,8.060000,5.499463,1900
2016-04-25,7.930000,8.010000,7.920000,8.010000,5.465347,4000
2016-04-26,8.040000,8.060000,7.970000,8.040000,5.485816,4200
2016-04-27,8.050000,8.170000,8.030000,8.030000,5.478993,6600
2016-04-28,8.060000,8.140000,8.060000,8.120000,5.540401,6200
2016-04-29,8.150000,8.150000,8.090000,8.090000,5.519932,5700
2016-05-02,8.080000,8.090000,8.000000,8.090000,5.519932,4600
2016-05-03,8.000000,8.010000,7.970000,8.000000,5.458523,8700
2016-05-04,7.930000,7.990000,7.930000,7.990000,5.451700,6900
