Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,12.240000,12.270000,12.150000,12.230000,6.282460,160400
2016-01-12,12.210000,12.270000,12.120000,12.180000,6.256777,90500
2016-01-13,12.190000,12.210000,12.010000,12.010000,6.169452,75800
2016-01-14,11.970000,11.990000,11.860000,11.960000,6.143765,173200
2016-01-15,11.860000,11.870000,11.720000,11.800000,6.061576,175600
2016-01-19,11.880000,11.880000,11.600000,11.600000,5.958838,283100
2016-01-20,11.550000,11.560000,11.300000,11.490000,5.902330,470700
2016-01-21,11.460000,11.700000,11.460000,11.650000,5.984519,110700
2016-01-22,11.730000,11.780000,11.680000,11.740000,6.030751,197100
2016-01-25,11.760000,11.760000,11.600000,11.620000,5.969108,178400
2016-01-26,11.630000,11.850000,11.620000,11.830000,6.076983,194500
2016-01-27,11.830000,11.910000,11.790000,11.860000,6.092394,81000
2016-01-28,11.890000,12.010000,11.870000,12.010000,6.169452,127200
2016-01-29,12.020000,12.080000,11.980000,12.060000,6.195135,77500
2016-02-01,12.030000,12.060000,11.930000,11.980000,6.154038,133300
2016-02-02,11.960000,11.990000,11.880000,11.920000,6.123216,139200
2016-02-03,11.960000,11.960000,11.860000,11.890000,6.107809,97800
2016-02-04,11.840000,11.870000,11.760000,11.760000,6.041024,144800
2016-02-05,11.780000,11.820000,11.690000,11.710000,6.015342,129000
2016-02-08,11.630000,11.630000,11.520000,11.600000,5.958838,157200
2016-02-09,11.470000,11.650000,11.430000,11.610000,5.963972,192200
2016-02-10,11.640000,11.640000,11.550000,11.580000,5.948560,144000
2016-02-11,11.450000,11.550000,11.450000,11.520000,5.917741,139300
2016-02-12,11.520000,11.530000,11.470000,11.470000,5.892059,102600
2016-02-16,11.560000,11.560000,11.420000,11.440000,5.876646,170600
2016-02-17,11.480000,11.590000,11.470000,11.550000,5.933150,81900
2016-02-18,11.530000,11.540000,11.430000,11.440000,5.916603,98900
2016-02-19,11.430000,11.450000,11.380000,11.430000,5.911429,87100
2016-02-22,11.510000,11.550000,11.500000,11.520000,5.957977,97300
2016-02-23,11.530000,11.560000,11.510000,11.550000,5.973494,93400
2016-02-24,11.520000,11.640000,11.490000,11.630000,6.014867,92000
2016-02-25,11.590000,11.620000,11.540000,11.600000,5.999352,34700
2016-02-26,11.590000,11.650000,11.590000,11.650000,6.025207,56500
