Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,8.650000,8.680000,8.490000,8.530000,3.758425,107600
2016-01-12,8.540000,8.580000,8.450000,8.490000,3.740799,82900
2016-01-13,8.490000,8.490000,8.260000,8.360000,3.683521,232700
2016-01-14,8.340000,8.380000,8.230000,8.370000,3.687927,168600
2016-01-15,8.270000,8.310000,8.050000,8.150000,3.590992,223100
2016-01-19,8.150000,8.150000,8.000000,8.060000,3.551338,145500
2016-01-20,7.930000,7.930000,7.620000,7.670000,3.420235,291600
2016-01-21,7.720000,7.870000,7.660000,7.780000,3.469287,161100
2016-01-22,7.860000,7.990000,7.840000,7.960000,3.549554,225700
2016-01-25,7.970000,8.030000,7.960000,7.990000,3.562932,57600
2016-01-26,8.020000,8.110000,8.020000,8.110000,3.616442,153600
2016-01-27,8.120000,8.150000,8.070000,8.130000,3.625360,74700
2016-01-28,8.150000,8.240000,8.120000,8.240000,3.674412,113600
2016-01-29,8.270000,8.310000,8.240000,8.290000,3.696706,135200
2016-02-01,8.260000,8.310000,8.220000,8.310000,3.705626,145300
2016-02-02,8.290000,8.290000,8.180000,8.250000,3.678869,68700
2016-02-03,8.270000,8.270000,8.180000,8.250000,3.678869,85300
2016-02-04,8.210000,8.260000,8.180000,8.210000,3.661034,73800
2016-02-05,8.190000,8.220000,8.120000,8.170000,3.643198,181400
2016-02-08,8.120000,8.120000,8.010000,8.050000,3.589687,110800
2016-02-09,7.990000,8.020000,7.910000,7.940000,3.540636,70400
2016-02-10,7.940000,7.980000,7.900000,7.920000,3.531715,66400
2016-02-11,7.880000,7.880000,7.790000,7.800000,3.478204,101200
2016-02-12,7.830000,7.860000,7.810000,7.860000,3.504961,147200
2016-02-16,7.890000,7.910000,7.780000,7.860000,3.504961,125100
2016-02-17,7.860000,7.930000,7.850000,7.900000,3.566358,242000
2016-02-18,7.950000,8.000000,7.950000,7.970000,3.597957,190700
2016-02-19,7.970000,8.030000,7.960000,8.030000,3.625043,60600
2016-02-22,8.150000,8.200000,8.060000,8.100000,3.656645,274400
2016-02-23,8.120000,8.160000,8.100000,8.130000,3.670187,113000
2016-02-24,8.100000,8.150000,8.090000,8.150000,3.679217,74200
2016-02-25,8.120000,8.200000,8.110000,8.190000,3.697274,84500
2016-02-26,8.250000,8.260000,8.200000,8.200000,3.701788,115800
2016-02-29,8.180000,8.360000,8.170000,8.330000,3.760476,110300
