Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,32.509998,33.165001,32.474998,32.970001,27.023659,635200
2016-01-12,33.200001,33.200001,32.625000,32.865002,26.937592,704000
2016-01-13,32.950001,33.279999,32.570000,32.645000,26.757269,909800
2016-01-14,32.645000,32.845001,32.305000,32.404999,26.560553,795600
2016-01-15,31.975000,32.459999,31.809999,32.439999,26.589241,1435200
2016-01-19,32.689999,33.189999,32.470001,33.040001,27.081030,1258600
2016-01-20,32.845001,33.139999,32.044998,32.755001,26.847424,2213600
2016-01-21,32.919998,33.200001,32.400002,32.445000,26.593338,690000
2016-01-22,32.775002,33.549999,32.580002,33.500000,27.458063,834800
2016-01-25,33.480000,34.070000,33.410000,33.634998,27.568708,950800
2016-01-26,33.240002,33.465000,32.639999,32.935001,26.994972,2029000
2016-01-27,32.615002,32.715000,31.110001,32.349998,26.515474,1338000
2016-01-28,32.404999,32.549999,31.670000,31.900000,26.146633,1113400
2016-01-29,32.154999,32.970001,31.885000,32.959999,27.015455,1175600
2016-02-01,32.840000,33.994999,32.500000,33.709999,27.630175,960600
2016-02-02,33.740002,33.869999,33.250000,33.529999,27.482653,967600
2016-02-03,33.720001,34.130001,33.424999,33.895000,27.781824,1042200
2016-02-04,33.770000,33.910000,33.209999,33.500000,27.458063,909000
2016-02-05,33.445000,33.634998,33.014999,33.099998,27.130199,675600
2016-02-08,32.895000,32.895000,31.670000,32.180000,26.376131,987800
2016-02-09,32.005001,32.395000,31.815001,32.220001,26.408918,1110200
2016-02-10,32.384998,33.540001,32.275002,32.970001,27.023659,869400
2016-02-11,32.525002,32.970001,32.240002,32.849998,26.925297,592000
2016-02-12,33.064999,33.189999,32.660000,33.014999,27.060532,757200
2016-02-16,33.244999,33.720001,33.035000,33.709999,27.630175,715800
2016-02-17,33.735001,34.080002,33.549999,33.884998,27.773619,1145400
2016-02-18,34.014999,34.235001,33.639999,34.090000,27.941658,827200
2016-02-19,34.014999,34.505001,33.755001,34.415001,28.208031,941000
2016-02-22,34.595001,34.930000,34.439999,34.849998,28.564577,1125400
2016-02-23,34.740002,35.209999,34.689999,35.055000,28.732616,531800
2016-02-24,34.884998,35.020000,34.314999,34.759998,28.490820,1643800
2016-02-25,34.935001,35.904999,34.935001,35.770000,29.318649,1370400
2016-02-26,35.785000,35.785000,35.209999,35.230000,28.876045,729400
2016-02-29,35.270000,35.770000,34.974998,35.080002,28.753101,916000
2016-03-01,35.235001,35.785000,35.235001,35.785000,29.330944,1113200
2016-03-02,35.705002,35.919998,35.459999,35.849998,29.384224,1090800
2016-03-03,35.785000,36.095001,35.660000,36.035000,29.535856,1069000
2016-03-04,35.889999,36.005001,35.115002,35.424999,29.035879,1304000
2016-03-07,35.365002,35.744999,35.154999,35.474998,29.076855,675400
2016-03-08,35.400002,35.770000,35.395000,35.715000,29.273569,735600
2016-03-09,35.985001,36.270000,35.695000,35.955002,29.470293,627400
2016-03-10,36.049999,36.244999,35.250000,35.625000,29.199806,656200
2016-03-11,36.020000,36.355000,35.849998,36.264999,29.724367,1177200
2016-03-14,36.139999,36.330002,35.779999,36.095001,29.585043,1111800
2016-03-15,36.080002,36.345001,35.910000,36.345001,29.789953,583400
2016-03-16,36.264999,36.764999,36.160000,36.650002,30.039940,689600
2016-03-17,36.770000,36.974998,36.134998,36.535000,29.945681,1448000
2016-03-18,36.555000,36.669998,35.994999,36.029999,29.531757,1728000
2016-03-21,35.970001,36.235001,35.830002,35.900002,29.425209,635600
2016-03-22,35.645000,36.009998,35.459999,35.619999,29.369547,525000
2016-03-23,35.619999,35.695000,35.105000,35.110001,28.949047,1375800
2016-03-24,35.220001,35.299999,34.910000,35.255001,29.068598,1123600
2016-03-28,35.299999,35.389999,35.134998,35.320000,29.122181,420200
2016-03-29,35.305000,36.014999,35.154999,35.959999,29.649893,527000
2016-03-30,36.125000,36.130001,35.709999,35.724998,29.456118,742000
2016-03-31,35.730000,36.435001,35.709999,36.365002,29.983831,949400
2016-04-01,36.264999,36.410000,36.189999,36.349998,29.971447,430200
2016-04-04,36.369999,36.590000,36.130001,36.209999,29.856018,621200
2016-04-05,36.090000,36.240002,35.740002,35.810001,29.526215,1151800
2016-04-06,35.775002,35.834999,35.490002,35.615002,29.365423,861400
2016-04-07,35.404999,35.639999,35.314999,35.549999,29.311846,1445600
