Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,3.680000,3.680000,3.560000,3.560000,3.560000,200
2016-01-12,3.720000,3.720000,3.510000,3.600000,3.600000,1100
2016-01-13,3.700000,3.700000,3.670000,3.670000,3.670000,500
2016-01-14,3.520000,3.540000,3.520000,3.540000,3.540000,1400
2016-01-15,3.540000,3.540000,3.540000,3.540000,3.540000,0
2016-01-19,3.410000,3.720000,3.410000,3.410000,3.410000,2700
2016-01-20,3.410000,3.730000,3.360000,3.510000,3.510000,7300
2016-01-21,3.680000,3.720000,3.680000,3.700000,3.700000,1200
2016-01-22,3.360000,3.360000,3.360000,3.360000,3.360000,100
2016-01-25,3.430000,3.430000,3.430000,3.430000,3.430000,200
2016-01-26,3.430000,3.430000,3.430000,3.430000,3.430000,0
2016-01-27,3.430000,3.430000,3.420000,3.420000,3.420000,1600
2016-01-28,3.420000,3.420000,3.420000,3.420000,3.420000,0
2016-01-29,3.470000,3.470000,3.470000,3.470000,3.470000,100
2016-02-01,3.430000,3.430000,3.430000,3.430000,3.430000,200
2016-02-02,3.620000,3.620000,3.620000,3.620000,3.620000,600
2016-02-03,3.620000,3.620000,3.620000,3.620000,3.620000,0
2016-02-04,3.560000,3.560000,3.530000,3.530000,3.530000,900
2016-02-05,3.510000,3.570000,3.510000,3.570000,3.570000,1000
2016-02-08,3.570000,3.570000,3.570000,3.570000,3.570000,0
2016-02-09,3.460000,3.460000,3.410000,3.410000,3.410000,1100
2016-02-10,3.410000,3.410000,3.300000,3.300000,3.300000,18000
2016-02-11,3.300000,3.300000,3.300000,3.300000,3.300000,100
2016-02-12,3.400000,3.400000,3.310000,3.310000,3.310000,300
2016-02-16,3.430000,3.430000,3.340000,3.340000,3.340000,400
2016-02-17,3.340000,3.340000,3.340000,3.340000,3.340000,0
2016-02-18,3.340000,3.420000,3.330000,3.420000,3.420000,700
2016-02-19,3.400000,3.400000,3.390000,3.390000,3.390000,600
2016-02-22,3.410000,3.410000,3.410000,3.410000,3.410000,200
2016-02-23,3.400000,3.400000,3.400000,3.400000,3.400000,800
2016-02-24,3.400000,3.400000,3.400000,3.400000,3.400000,0
2016-02-25,3.400000,3.400000,3.400000,3.400000,3.400000,0
2016-02-26,3.400000,3.400000,3.400000,3.400000,3.400000,0
2016-02-29,3.400000,3.400000,3.400000,3.400000,3.400000,0
2016-03-01,3.410000,3.410000,3.410000,3.410000,3.410000,100
2016-03-02,3.330000,3.370000,3.170000,3.230000,3.230000,21400
2016-03-03,3.230000,3.230000,3.230000,3.230000,3.230000,0
2016-03-04,3.400000,3.400000,3.400000,3.400000,3.400000,1600
