Date,Open,High,Low,Close,Adj Close,Volume
2022-12-02,20.000000,20.379999,20.000000,20.200001,19.287874,1383500
2022-12-05,20.070000,20.100000,19.900000,19.931999,19.031975,17900
2022-12-06,19.910000,19.975000,19.840000,19.919001,19.019562,165200
2022-12-07,19.850000,19.940001,19.799999,19.862000,18.965134,28900
2022-12-08,20.059999,20.059999,19.980000,20.028000,19.123640,75600
2022-12-09,20.040001,20.150000,19.920000,19.951000,19.050116,34200
2022-12-12,19.940001,20.030001,19.760000,19.909000,19.010014,207400
2022-12-13,20.340000,20.400000,20.070000,20.125000,19.216261,17900
2022-12-14,20.190001,20.190001,20.000000,20.120001,19.211489,4300
2022-12-15,19.639999,19.700001,19.580000,19.621000,18.735020,8000
2022-12-16,19.510000,19.580000,19.480000,19.525999,18.644306,1400
2022-12-19,19.770000,19.770000,19.469999,19.500000,18.619482,12800
2022-12-20,19.625000,19.665001,19.590000,19.593000,18.708282,2400
2022-12-21,19.809999,19.850000,19.650000,19.826000,18.930761,285100
2022-12-22,19.639999,19.639999,19.280001,19.434999,18.817480,309400
2022-12-23,19.420000,19.427000,19.402000,19.427000,18.809734,14200
2022-12-27,19.430000,19.610001,19.420000,19.559999,18.938507,35300
2022-12-28,19.475000,19.475000,19.290001,19.290001,18.677086,309600
2022-12-29,19.486000,19.620001,19.486000,19.579000,18.956905,128200
2022-12-30,19.450001,19.450001,19.299999,19.392000,18.775845,113200
2023-01-03,19.580000,19.600000,19.440001,19.559999,18.938507,29600
2023-01-04,19.924999,20.018999,19.886999,20.004999,19.369366,2400
2023-01-05,19.870001,20.020000,19.840000,19.980000,19.345163,56200
2023-01-06,20.114000,20.354000,20.114000,20.354000,19.707279,5500
2023-01-09,20.480000,20.605000,20.430000,20.430000,19.780865,5400
2023-01-10,20.559999,20.599001,20.480000,20.570000,19.916418,4700
2023-01-11,20.770000,20.770000,20.620001,20.680000,20.022921,14600
2023-01-12,20.820000,20.934999,20.590000,20.879999,20.216566,27500
2023-01-13,20.959999,21.030001,20.903000,21.010000,20.342436,3000
2023-01-17,21.010000,21.041000,20.879999,20.920000,20.255295,2900
2023-01-18,21.150000,21.160000,20.770000,20.770000,20.110062,1700
2023-01-19,20.740000,20.900000,20.740000,20.860001,20.197203,10100
2023-01-20,20.900000,21.080000,20.860001,21.080000,20.410213,4200
2023-01-23,21.049999,21.190001,21.000000,21.120001,20.448940,16500
2023-01-24,20.940001,21.180000,20.940001,21.120001,20.448940,11000
2023-01-25,21.080000,21.260000,21.040001,21.230000,20.555445,11000
2023-01-26,21.459999,21.459999,21.230000,21.379999,20.700678,44700
2023-01-27,21.400000,21.400000,21.190001,21.309999,20.632902,455400
2023-01-30,21.219999,21.219999,20.990000,20.990000,20.323071,24400
2023-01-31,20.959999,21.110001,20.948999,21.100000,20.429577,11700
2023-02-01,20.990000,21.459999,20.990000,21.350000,20.671635,222500
2023-02-02,21.400000,21.400000,21.250000,21.350000,20.671635,31900
2023-02-03,21.070000,21.150000,20.930000,20.930000,20.264977,22800
2023-02-06,20.740000,20.740000,20.570000,20.700001,20.042288,16600
2023-02-07,20.680000,20.850000,20.629999,20.809999,20.148788,35800
2023-02-08,20.799999,20.799999,20.700001,20.750000,20.090698,17100
2023-02-09,21.040001,21.049999,20.770000,20.780001,20.119743,10100
2023-02-10,20.520000,20.639999,20.520000,20.580000,19.926100,3300
2023-02-13,20.700001,20.878000,20.650000,20.870001,20.206884,19900
2023-02-14,20.850000,20.886000,20.719999,20.809999,20.148788,27200
2023-02-15,20.690001,20.750000,20.590000,20.740000,20.081015,5300
2023-02-16,20.660000,20.830000,20.620001,20.730000,20.071331,9700
2023-02-17,20.610001,20.709999,20.570000,20.674000,20.017111,12400
2023-02-21,20.530001,20.540001,20.350000,20.389999,19.742134,21900
2023-02-22,20.330000,20.340000,20.230000,20.250000,19.606585,65500
2023-02-23,20.469999,20.480000,20.230000,20.379999,19.732452,10900
2023-02-24,20.049999,20.049999,19.900000,19.990000,19.354845,3600
2023-02-27,20.240000,20.260000,20.200001,20.200001,19.558174,12700
2023-02-28,20.260000,20.260000,20.070000,20.070000,19.432304,23300
2023-03-01,20.305000,20.330000,20.299999,20.330000,19.684042,1100
2023-03-02,20.209999,20.395000,20.209999,20.350000,19.703407,36500
2023-03-03,20.480000,20.680000,20.459999,20.629000,19.973541,9600
2023-03-06,20.629999,20.700001,20.600000,20.600000,19.945463,3500
2023-03-07,20.590000,20.590000,20.209999,20.209999,19.567854,4600
2023-03-08,20.090000,20.360001,20.090000,20.350000,19.703407,5500
2023-03-09,20.430000,20.430000,19.950001,19.988001,19.352911,25300
2023-03-10,20.000000,20.025999,19.780001,19.780001,19.151516,4500
2023-03-13,19.700001,19.760000,19.700001,19.702000,19.075994,5500
2023-03-14,19.875999,19.879999,19.759001,19.879999,19.248339,8100
2023-03-15,19.250000,19.250000,19.030001,19.250000,18.638357,4100
2023-03-16,19.160000,19.596001,19.160000,19.596001,18.973366,8100
2023-03-17,19.500000,19.500000,19.299999,19.365000,18.749704,11800
2023-03-20,19.410000,19.645000,19.400000,19.575001,18.953033,57300
